start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Na/Si,Al/Si,Mg/Si,Ca/Si,Na/Si_uncer,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20200101T011904,81.2924,75.6261,75.6913,81.3983,-76.2942,-78.404,-73.5239,-72.5436,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T012040,76.4743,70.7773,70.8271,76.5435,-74.5164,-75.5497,-72.2018,-71.7188,1.0119141528200437,1.0119141528200437,0.0,0.0019954286159050458,0.0061704495247609905,-1.0
20200101T012216,71.6385,65.9275,65.9681,71.6905,-73.4893,-74.1009,-71.5262,-71.2361,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T012352,66.8,63.9356,63.9735,66.842,-73.1785,-73.2228,-71.1104,-71.0882,1.0,1.0723675695619979,0.0,0.015032190026183608,0.021716890631894834,-1.0
20200101T020753,-65.9813,-71.6944,-71.644,-65.9419,-68.3822,-68.6853,-66.5002,-65.8862,1.0,0.0,0.0,0.01599076774188639,-1.0,-1.0
20200101T020929,-70.8583,-76.5644,-76.4972,-70.81,-67.6857,-68.1899,-65.4787,-64.439,1.2441996335569359,4.904636190907134,0.0,0.00033723438109787917,0.004939522243193461,-1.0
20200101T021105,-75.7402,-81.4366,-81.3336,-75.6769,-66.313,-67.3419,-63.7067,-61.5698,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T021241,-80.6254,-86.2895,-86.0615,-80.5312,-62.244,-65.5035,-59.8607,-53.2322,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T021417,-85.499,-89.307,-89.3096,-85.3092,37.016,-58.3046,-45.5944,59.9206,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T021553,-83.6697,-89.1691,-88.8884,-83.8051,96.277,50.1775,71.2488,103.314,1.0,1.5385976416407285,0.0,0.011099966635732253,0.005060668799195672,-1.0
20200101T021729,-78.8344,-84.4241,-84.5781,-78.9098,102.204,94.4089,102.38,106.163,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T021905,-73.9446,-79.5947,-79.6756,-73.9966,104.547,101.645,105.887,107.281,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T022041,-69.0335,-74.6979,-74.7523,-69.073,105.801,104.285,107.149,107.885,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T022217,-64.1091,-69.7776,-69.8185,-64.141,106.584,105.65,107.807,108.269,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T022353,-59.1745,-64.8438,-64.8766,-59.2014,107.121,106.486,108.216,108.538,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T022529,-54.2317,-59.9,-59.9275,-54.2549,107.514,107.052,108.5,108.741,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T022705,-49.2814,-54.9485,-54.9721,-49.302,107.815,107.463,108.712,108.903,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T022841,-44.3246,-49.9901,-50.0109,-44.3432,108.055,107.776,108.878,109.036,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T023017,-39.3621,-45.0258,-45.0446,-39.3791,108.252,108.023,109.015,109.15,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T023153,-34.3945,-40.0566,-40.0737,-34.4103,108.416,108.225,109.132,109.251,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T023329,-29.4223,-35.0831,-35.099,-29.4372,108.558,108.394,109.235,109.343,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T023505,-24.4464,-30.1059,-30.1209,-24.4606,108.681,108.538,109.328,109.428,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T023641,-19.4675,-25.126,-25.1402,-19.481,108.791,108.664,109.414,109.509,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T023817,-14.4859,-20.1439,-20.1575,-14.499,108.89,108.775,109.496,109.587,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T023953,-9.5025,-15.1601,-15.1734,-9.5154,108.982,108.876,109.574,109.664,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T024129,-4.518,-10.1756,-10.1886,-4.5307,109.067,108.968,109.652,109.742,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T024305,0.467,-5.1909,-5.2037,0.4542,109.148,109.054,109.73,109.822,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T024441,5.4515,-0.2067,-0.2195,5.4386,109.227,109.136,109.809,109.905,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T024617,10.435,4.776,4.7631,10.4218,109.303,109.214,109.892,109.993,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T024753,15.4167,9.7567,9.7436,15.4032,109.38,109.291,109.979,110.088,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T024929,20.396,14.7347,14.7213,20.382,109.458,109.367,110.072,110.191,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T025105,25.3724,19.7093,19.6954,25.3578,109.539,109.445,110.174,110.305,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T025241,30.3452,24.6802,24.6656,30.3297,109.624,109.525,110.286,110.434,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T025417,35.3138,29.6465,29.6312,35.2973,109.717,109.609,110.413,110.582,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T025553,40.2775,34.6079,34.5915,40.2596,109.819,109.701,110.558,110.755,1.0,1.1540369746169208,0.0,0.012735962212956234,0.00424378679907311,-1.0
20200101T025729,45.2361,39.5636,39.5459,45.2165,109.936,109.801,110.727,110.962,1.162652977635996,0.0,0.0,0.00971431294809266,-1.0,-1.0
20200101T025905,50.1887,44.5136,44.4942,50.1668,110.073,109.915,110.928,111.216,1.0,0.768649298237576,0.0,0.015594243698285761,0.018130350768083274,-1.0
20200101T030041,55.1349,49.4569,49.4354,55.11,110.24,110.048,111.173,111.537,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T030217,60.0744,54.3933,54.3689,60.0456,110.452,110.209,111.482,111.958,1.0,0.8231403770241384,0.0,0.01598580344200547,0.00801496826362841,-1.0
20200101T030353,65.0066,59.3226,59.2943,64.9721,110.736,110.412,111.884,112.539,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T030529,69.931,64.2441,64.2105,69.8879,111.146,110.682,112.435,113.397,0.0,1.36514291159623,0.0,-1.0,0.011937894925057264,-1.0
20200101T030705,74.8466,69.1575,69.1159,74.7892,111.807,111.066,113.236,114.799,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T030841,79.7512,74.062,74.0074,79.6658,113.074,111.67,114.518,117.512,1.0,0.8348299558034258,0.0,0.012497450806558603,0.0005855213595644596,-1.0
20200101T031017,84.6349,78.9559,78.8766,84.4717,116.608,112.787,116.912,124.963,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T031153,89.1931,83.8321,83.6896,88.4342,167.568,115.633,122.962,170.338,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T031329,89.3139,85.2841,85.4821,89.3134,148.579,-176.703,-146.21,-82.7008,1.0,0.7283334848998703,0.0,0.015997029618706166,0.019992065349111313,-1.0
20200101T031505,86.0631,80.5288,80.6275,86.3023,-81.3879,-88.0307,-78.7146,-75.5229,1.0,1.2682548710597104,0.0,0.013733164219746626,0.0007320285732833822,-1.0
20200101T031641,81.3602,75.695,75.7615,81.4684,-77.4639,-79.6176,-74.6984,-73.6882,1.5988146544237891,0.9366182357348384,0.0,0.0004324370616436176,0.0037749749433523753,-1.0
20200101T031817,76.5444,70.8476,70.8982,76.6149,-75.6532,-76.7045,-73.3365,-72.8405,1.6470137956685869,1.6470137956685869,0.0,0.013170289226485088,0.02866974465656355,-1.0
20200101T031953,71.71,65.9989,66.0403,71.7629,-74.6094,-75.2304,-72.6429,-72.3458,1.0,0.0,0.0,0.01444021034604686,-1.0,-1.0
20200101T032129,66.8728,63.9794,64.0179,66.9156,-74.2938,-74.3384,-72.2169,-72.1942,1.0,0.8460347031086363,0.0,0.01430101211412986,0.005663303363992806,-1.0
20200101T040533,-66.0453,-71.7577,-71.7066,-66.0053,-69.4156,-69.7248,-67.5362,-66.9147,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T040709,-70.9225,-76.6282,-76.5601,-70.8736,-68.7007,-69.2182,-66.5011,-65.4446,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T040845,-75.8051,-81.5005,-81.3958,-75.7409,-67.2877,-68.3472,-64.7001,-62.5217,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T041021,-80.6907,-86.3519,-86.1181,-80.5949,-63.0606,-66.4516,-60.7762,-53.9601,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T041157,-85.5636,-89.2862,-89.2914,-85.3694,38.1854,-58.9214,-46.0536,60.1113,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T041333,-83.6012,-89.1193,-88.8266,-83.7363,95.2481,50.8369,71.772,102.195,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T041509,-78.7646,-84.3542,-84.5077,-78.8402,101.121,93.4129,101.268,105.047,1.0,0.0,0.0,0.015984782577869595,-1.0,-1.0
20200101T041645,-73.8739,-79.5233,-79.6042,-73.9261,103.458,100.566,104.77,106.174,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T041821,-68.9617,-74.6253,-74.68,-69.0014,104.712,103.197,106.041,106.784,0.0,2.207989356683999,0.0,-1.0,0.010377725314319198,-1.0
20200101T041957,-64.0362,-69.7039,-69.745,-64.0684,105.496,104.562,106.705,107.173,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T042133,-59.1005,-64.769,-64.802,-59.1275,106.035,105.399,107.119,107.446,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T042309,-54.1563,-59.8241,-59.8516,-54.1797,106.43,105.966,107.407,107.651,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T042445,-49.2049,-54.8711,-54.8949,-49.2256,106.733,106.379,107.621,107.815,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T042621,-44.2468,-49.9115,-49.9325,-44.2655,106.974,106.693,107.79,107.95,0.0,1.66784838075121,0.0,-1.0,4.0892028610438245e-05,-1.0
20200101T042757,-39.283,-44.9459,-44.9648,-39.3001,107.171,106.942,107.93,108.066,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T042933,-34.3141,-39.9755,-39.9927,-34.33,107.337,107.145,108.048,108.169,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T043109,-29.3406,-35.0007,-35.0167,-29.3556,107.48,107.315,108.153,108.262,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T043245,-24.3635,-30.0223,-30.0374,-24.3778,107.604,107.46,108.247,108.348,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T043421,-19.3831,-25.0412,-25.0555,-19.3968,107.715,107.587,108.335,108.43,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T043557,-14.4004,-20.0578,-20.0715,-14.4137,107.815,107.699,108.417,108.51,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T043733,-9.4159,-15.073,-15.0863,-9.4289,107.907,107.8,108.497,108.588,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T043909,-4.4303,-10.0874,-10.1004,-4.4432,107.993,107.894,108.575,108.667,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T044045,0.5558,-5.1017,-5.1146,0.5429,108.076,107.98,108.654,108.748,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T044221,5.5413,-0.1165,-0.1294,5.5283,108.155,108.063,108.735,108.832,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T044357,10.5255,4.867,4.854,10.5123,108.232,108.142,108.819,108.921,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T044533,15.508,9.8484,9.8352,15.4944,108.31,108.22,108.907,109.017,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T044709,20.488,14.8269,14.8134,20.4739,108.389,108.297,109.001,109.121,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T044845,25.4649,19.8021,19.788,25.4501,108.471,108.376,109.104,109.237,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T045021,30.4381,24.7732,24.7585,30.4224,108.557,108.457,109.218,109.367,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T045157,35.4068,29.7398,29.7243,35.3901,108.651,108.543,109.346,109.517,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T045333,40.3707,34.7011,34.6845,40.3526,108.755,108.635,109.493,109.692,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T045509,45.3293,39.6569,39.639,45.3095,108.874,108.737,109.664,109.902,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T045645,50.2818,44.6066,44.5871,50.2597,109.013,108.853,109.867,110.159,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T045821,55.2278,49.5497,49.5279,55.2027,109.183,108.988,110.116,110.484,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T045957,60.1682,54.4858,54.4611,60.1389,109.398,109.152,110.428,110.91,1.2997949467461198,0.0,0.0,0.0004077175379929759,-1.0,-1.0
20200101T050133,65.0987,59.4156,59.3871,65.0636,109.689,109.358,110.836,111.5,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T050309,70.0225,64.3353,64.3013,69.9787,110.108,109.633,111.394,112.371,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T050445,74.9372,69.248,69.2058,74.8788,110.784,110.026,112.207,113.798,1.0,0.0,0.0,0.015206642334310504,-1.0,-1.0
