start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Na/Si,Al/Si,Mg/Si,Ca/Si,Na/Si_uncer,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20211116T232451,-75.1259,-80.8174,-80.8866,-75.1686,62.7096,59.8812,65.1057,65.9396,0.4106055535487047,1.0,1.0,0.395991584729165,0.0070887445976592,0.013929696633636714,0.02476618087854822,0.001007237180469497
20211116T232627,-70.2473,-75.9522,-75.9973,-70.2795,63.8332,62.4408,65.8568,66.2743,1.6716523186145578,0.0,0.9616665000624468,0.3604567616610388,0.0016253977207055475,-1.0,0.0005609583292926474,0.00016829727262674798
20211116T232803,-65.3613,-71.0707,-71.1043,-65.3873,64.5119,63.6827,66.226,66.4817,1.5669046421288446,0.0,0.8919374749683532,0.7352714248760397,0.02728310551397935,-1.0,0.0062129055672479816,0.002421159028471294
20211116T232939,-60.4705,-66.1816,-66.2084,-60.4924,64.9666,64.4156,66.4492,66.6257,3.2796661511501273,0.0,3.2796661511501273,0.5822099446448789,0.0010917261292752573,-1.0,0.00037071847465051206,0.000369260744720979
20211116T233115,-55.5761,-61.2876,-61.31,-55.5951,65.2926,64.8995,66.6016,66.7334,0.0,1.1712534555142753,1.1712534555142753,0.47936872618146864,-1.0,7.888550052865105e-05,0.00019187894734920032,2.4854693684911057e-05
20211116T233251,-50.6787,-56.3902,-56.4096,-50.6956,65.538,65.2429,66.7144,66.819,0.0,0.0,1.323683057404617,1.18697749157138,-1.0,-1.0,1.7053325656961105e-05,0.0008077684596610315
20211116T233427,-45.7789,-51.4901,-51.5072,-45.7941,65.7297,65.4996,66.8032,66.89,1.873328652972087,0.0,1.4911115352229543,0.0,0.0003499026465488255,-1.0,0.00022007108276924796,-1.0
20211116T233603,-40.8766,-46.5878,-46.6033,-40.8906,65.8837,65.6989,66.8764,66.9512,1.2415019824712619,0.0,1.2082446137090554,0.5293336789752668,0.0037295646161413067,-1.0,0.00010519549353564952,0.0004172399987054692
20211116T233739,-35.9726,-41.6835,-41.6977,-35.9857,66.0105,65.8583,66.939,67.0057,0.0,0.737511035690303,1.2230187053111463,0.6279149908293241,-1.0,0.0003658828365557316,0.00034080414062328564,0.000786370696213462
20211116T233915,-31.0673,-36.7779,-36.7911,-31.0796,66.117,65.989,66.9946,67.0557,0.0,0.8881062852850249,1.3418272935544613,0.7208603882063126,-1.0,5.958499739316792e-05,0.00019455024288819603,0.0008703953458875645
