Point,X,Y,Na/Si,Na/Si_uncer,Al/Si,Al/Si_uncer,Mg/Si,Mg/Si_uncer,Ca/Si,Ca/Si_uncer,Polygon ID
V2,-634770.8238,-2620192.1931,,,0.0,-1.0,,,,,31
V3,-550850.9515,-2448092.0177,,,0.0,-1.0,,,,,31
V0,2111132.8831,-2431972.1246,,,0.0,-1.0,,,,,32
V1,2054519.1878,-2605997.8327,,,0.0,-1.0,,,,,32
V2,2247042.1397,-2599529.8621,,,0.0,-1.0,,,,,32
V3,2405545.3247,-2429200.5704,,,0.0,-1.0,,,,,32
V0,573757.2104,2607344.1895,,,0.0,-1.0,,,,,33
V1,534400.5339,2434349.4753,,,0.0,-1.0,,,,,33
V2,728648.8844,2434082.6298,,,0.0,-1.0,,,,,33
V3,858432.8242,2606707.3991,,,0.0,-1.0,,,,,33
V0,940869.8847,2634844.436,,,1.0,0.0042259561348789,,,,,34
V1,787548.9603,2464657.664,,,1.0,0.0042259561348789,,,,,34
V2,1095973.8222,2465900.9214,,,1.0,0.0042259561348789,,,,,34
V3,1114850.1078,2638340.7183,,,1.0,0.0042259561348789,,,,,34
V0,1685323.2994,2638368.0093,,,0.0,-1.0,,,,,35
V1,1419654.3616,2472344.6334,,,0.0,-1.0,,,,,35
V2,1736114.9113,2474988.8295,,,0.0,-1.0,,,,,35
V3,1863503.3065,2646030.72,,,0.0,-1.0,,,,,35
V0,1944539.4282,2633349.4948,,,0.0,-1.0,,,,,36
V1,1665743.512,2468272.2074,,,0.0,-1.0,,,,,36
V2,1978352.9962,2471386.4155,,,0.0,-1.0,,,,,36
V3,2125624.4123,2642094.7491,,,0.0,-1.0,,,,,36
V0,281003.4561,2606328.3572,,,0.0,-1.0,,,,,37
V1,242244.1496,2433612.6179,,,0.0,-1.0,,,,,37
V2,430394.4743,2433376.0957,,,0.0,-1.0,,,,,37
V3,552991.7801,2605764.3429,,,0.0,-1.0,,,,,37
V0,-1014494.9796,-2441251.0698,,,0.0,-1.0,,,,,38
V1,-1057557.1695,-2614091.1349,,,0.0,-1.0,,,,,38
V2,-852634.9996,-2612608.3231,,,0.0,-1.0,,,,,38
V3,-766446.9407,-2440653.6998,,,0.0,-1.0,,,,,38
V0,1777939.9086,-2413480.9455,,,0.0,-1.0,,,,,40
V1,1739875.0068,-2587803.8225,,,0.0,-1.0,,,,,40
V2,1921066.1226,-2582651.8852,,,0.0,-1.0,,,,,40
V3,2046398.5946,-2411112.6919,,,0.0,-1.0,,,,,40
V0,-5400831.2979,-2415743.0675,,,0.9126258621485244,0.0023496527269392,,,,,41
V1,-5451592.5865,-2589417.0247,,,0.9126258621485244,0.0023496527269392,,,,,41
V2,-5238207.1695,-2588307.1901,,,0.9126258621485244,0.0023496527269392,,,,,41
V3,-5173951.99,-2415245.7645,,,0.9126258621485244,0.0023496527269392,,,,,41
V0,-3626126.8908,2608866.4217,,,0.0,-1.0,,,,,42
V1,-3751089.4179,2437202.9026,,,0.0,-1.0,,,,,42
V2,-3621305.4781,2435280.4021,,,0.0,-1.0,,,,,42
V3,-3319861.0515,2604245.1431,,,0.0,-1.0,,,,,42
V0,2472471.9914,2625756.5279,,,0.0,-1.0,,,,,44
V1,2208916.5912,2460448.783,,,0.0,-1.0,,,,,44
V2,2497764.698,2463532.6677,,,0.0,-1.0,,,,,44
V3,2642907.4149,2633995.3822,,,0.0,-1.0,,,,,44
V0,-2736967.4155,2599211.4669,,,0.0,-1.0,,,,,46
V1,-2921912.5621,2427966.41,,,0.0,-1.0,,,,,46
V2,-2790751.9422,2425267.6318,,,0.0,-1.0,,,,,46
V3,-2446788.1136,2593067.9561,,,0.0,-1.0,,,,,46
V0,5167038.2661,2679495.5695,,,0.0,-1.0,,,,,47
V1,4801611.5701,2509566.546,,,0.0,-1.0,,,,,47
V2,4954047.0527,2510333.7268,,,0.0,-1.0,,,,,47
V3,5451531.9398,2682988.8195,,,0.0,-1.0,,,,,47
V0,-4535220.9366,2585847.9664,,,0.0,-1.0,,,,,48
V1,-4626342.6046,2413620.4329,,,0.0,-1.0,,,,,48
V2,-4374355.5626,2414815.1729,,,0.0,-1.0,,,,,48
V3,-4369928.3534,2588473.9685,,,0.0,-1.0,,,,,48
V0,3712214.8826,2609785.2192,,,0.0,-1.0,,,,,49
V1,3582461.2662,2439280.0521,,,0.0,-1.0,,,,,49
V2,3844788.5707,2440677.9585,,,0.0,-1.0,,,,,49
V3,3871594.4125,2613214.7901,,,0.0,-1.0,,,,,49
V0,-5155454.7462,-2401979.2987,,,0.0,-1.0,,,,,50
V1,-5218800.2253,-2575486.4775,,,0.0,-1.0,,,,,50
V2,-5003928.9641,-2575040.7243,,,0.0,-1.0,,,,,50
