Point,X,Y,Na/Si,Na/Si_uncer,Al/Si,Al/Si_uncer,Mg/Si,Mg/Si_uncer,Ca/Si,Ca/Si_uncer,Polygon ID
V2,-5342489.1717,-1818733.9119,,,1.0329950860378685,0.0036032103227819,,,,,832
V3,-5341094.2975,-1645484.4816,,,1.0329950860378685,0.0036032103227819,,,,,832
V0,135897.1273,1870068.3119,,,1.7822849417117652,0.0047445514166272,,,,,833
V1,134490.1238,1697203.9881,,,1.7822849417117652,0.0047445514166272,,,,,833
V2,178889.5735,1697073.5977,,,1.7822849417117652,0.0047445514166272,,,,,833
V3,184256.8065,1869913.6628,,,1.7822849417117652,0.0047445514166272,,,,,833
V0,-1168722.5722,-1504932.72,,,1.7729325414737724,5.303924740867545e-05,,,,,834
V1,-1173395.4005,-1679191.9179,,,1.7729325414737724,5.303924740867545e-05,,,,,834
V2,-1125614.8972,-1679395.0844,,,1.7729325414737724,5.303924740867545e-05,,,,,834
V3,-1124593.0003,-1505111.6278,,,1.7729325414737724,5.303924740867545e-05,,,,,834
V0,3497828.7951,-1654029.6017,,,1.0,0.0045616283869801,,,,,835
V1,3484516.8443,-1827048.5746,,,1.0,0.0045616283869801,,,,,835
V2,3534459.4024,-1827903.6931,,,1.0,0.0045616283869801,,,,,835
V3,3540342.1324,-1654754.3298,,,1.0,0.0045616283869801,,,,,835
V0,4574732.2622,1774258.6538,,,0.0,-1.0,,,,,836
V1,4573367.7114,1600681.7313,,,0.0,-1.0,,,,,836
V2,4617791.4198,1600542.2439,,,0.0,-1.0,,,,,836
V3,4622582.5092,1774100.9724,,,0.0,-1.0,,,,,836
V0,424129.6701,1862266.1138,,,0.0,-1.0,,,,,837
V1,422022.1972,1689359.3373,,,0.0,-1.0,,,,,837
V2,467331.3474,1689313.8523,,,0.0,-1.0,,,,,837
V3,471415.9027,1862214.5641,,,0.0,-1.0,,,,,837
V0,8890.8063,1873983.0564,,,1.0495696305805369,7.059475552691856e-05,,,,,838
V1,7759.7454,1701167.25,,,1.0495696305805369,7.059475552691856e-05,,,,,838
V2,51667.9568,1701006.5362,,,1.0495696305805369,7.059475552691856e-05,,,,,838
V3,57544.6221,1873792.0193,,,1.0495696305805369,7.059475552691856e-05,,,,,838
V0,231500.5865,1865926.1422,,,1.1340213684085405,0.0020131085146754,,,,,839
V1,229866.1579,1693052.7214,,,1.1340213684085405,0.0020131085146754,,,,,839
V2,274490.0004,1692949.622,,,1.1340213684085405,0.0020131085146754,,,,,839
V3,279396.3185,1865807.8811,,,1.1340213684085405,0.0020131085146754,,,,,839
V0,3565176.9564,-1650666.7422,,,0.0,-1.0,,,,,840
V1,3552441.1492,-1823706.9414,,,0.0,-1.0,,,,,840
V2,3602262.414,-1824516.5748,,,0.0,-1.0,,,,,840
V3,3607599.3237,-1651358.1146,,,0.0,-1.0,,,,,840
V0,3666275.0067,-1649487.1638,,,1.0,0.0018817155744406,,,,,841
V1,3654418.5767,-1822554.6541,,,1.0,0.0018817155744406,,,,,841
V2,3704239.8415,-1823273.3175,,,1.0,0.0018817155744406,,,,,841
V3,3708697.374,-1650099.6955,,,1.0,0.0018817155744406,,,,,841
V0,5396131.1786,-1647925.5113,,,0.0,-1.0,,,,,842
V1,5390460.712,-1821090.0362,,,0.0,-1.0,,,,,842
V2,5438856.7793,-1821290.1704,,,0.0,-1.0,,,,,842
V3,5439978.7433,-1648095.3221,,,0.0,-1.0,,,,,842
V0,4639048.0885,1774267.7509,,,0.0,-1.0,,,,,843
V1,4637622.891,1600715.087,,,0.0,-1.0,,,,,843
V2,4682016.276,1600590.7613,,,0.0,-1.0,,,,,843
V3,4686655.7486,1774122.1988,,,0.0,-1.0,,,,,843
V0,359516.675,1860571.0385,,,0.0,-1.0,,,,,844
V1,357533.5279,1687679.4237,,,0.0,-1.0,,,,,844
V2,402530.3476,1687621.8093,,,0.0,-1.0,,,,,844
V3,406772.5843,1860504.3271,,,0.0,-1.0,,,,,844
V0,5261920.0296,-1649644.8453,,,0.0,-1.0,,,,,845
V1,5256158.593,-1822782.0792,,,0.0,-1.0,,,,,845
V2,5304554.6603,-1822988.278,,,0.0,-1.0,,,,,845
V3,5305615.9775,-1649820.7207,,,0.0,-1.0,,,,,845
V0,4479092.4149,1765810.5684,,,0.0,-1.0,,,,,846
V1,4477909.8043,1592221.5166,,,0.0,-1.0,,,,,846
V2,4521848.3391,1592060.8028,,,0.0,-1.0,,,,,846
V3,4526882.0152,1765622.5636,,,0.0,-1.0,,,,,846
V0,3734229.6351,-1645993.9139,,,0.0,-1.0,,,,,847
V1,3723100.9654,-1819070.5011,,,0.0,-1.0,,,,,847
V2,3772709.9667,-1819734.5825,,,0.0,-1.0,,,,,847
V3,3776500.3856,-1646557.9282,,,0.0,-1.0,,,,,847
V0,3131431.7519,-1662623.2393,,,0.0,-1.0,,,,,848
V1,3116179.1066,-1835478.466,,,0.0,-1.0,,,,,848
V2,3165879.078,-1836470.0396,,,0.0,-1.0,,,,,848
V3,3173611.5324,-1663466.2284,,,0.0,-1.0,,,,,848
V0,5161792.3265,-1653420.1024,,,0.9349946163431958,0.0034189770427112,,,,,849
V1,5156121.8599,-1826508.819,,,0.9349946163431958,0.0034189770427112,,,,,849
V2,5204335.9871,-1826708.9531,,,0.9349946163431958,0.0034189770427112,,,,,849
V3,5205457.9511,-1653589.9132,,,0.9349946163431958,0.0034189770427112,,,,,849
V0,-1235840.276,-1500469.1228,,,1.0,0.0132273366052517,,,,,850
V1,-1240728.4001,-1674682.8357,,,1.0,0.0132273366052517,,,,,850
V2,-1193111.6429,-1674913.2932,,,1.0,0.0132273366052517,,,,,850
V3,-1192244.3951,-1500672.2893,,,1.0,0.0132273366052517,,,,,850
V0,2464439.3359,-1572972.2537,,,0.0,-1.0,,,,,851
V1,2450214.6522,-1746891.8301,,,0.0,-1.0,,,,,851
V2,2499108.0225,-1747947.0827,,,0.0,-1.0,,,,,851
V3,2506643.375,-1573884.9866,,,0.0,-1.0,,,,,851
V0,4415655.9659,1764421.759,,,1.0,0.0159915505774838,,,,,852
V1,4414655.2953,1590850.9011,,,1.0,0.0159915505774838,,,,,852
V2,4458229.9499,1590668.961,,,1.0,0.0159915505774838,,,,,852
V3,4463506.2128,1764206.4632,,,1.0,0.0159915505774838,,,,,852
V0,4736931.8636,1775056.158,,,0.0,-1.0,,,,,853
V1,4735446.0195,1601570.2055,,,0.0,-1.0,,,,,853
V2,4779627.141,1601451.9444,,,0.0,-1.0,,,,,853
V3,4784175.6436,1774916.6706,,,0.0,-1.0,,,,,853
V0,-1286634.9203,1912472.4851,,,0.6143685554110047,0.0014055263288976,,,,,854
V1,-1286916.9275,1740026.6236,,,0.6143685554110047,0.0014055263288976,,,,,854
V2,-1244497.5925,1739784.0367,,,0.6143685554110047,0.0014055263288976,,,,,854
V3,-1237104.7597,1912187.4456,,,0.6143685554110047,0.0014055263288976,,,,,854
V0,2563766.5026,-1567153.2028,,,1.2995682403000652,0.0063813582823768,,,,,855
V1,2549711.6297,-1741103.1025,,,1.2995682403000652,0.0063813582823768,,,,,855
V2,2598483.7065,-1742155.3228,,,1.2995682403000652,0.0063813582823768,,,,,855
V3,2605946.283,-1568062.9033,,,1.2995682403000652,0.0063813582823768,,,,,855
V0,2685905.9258,1688382.9254,,,0.0,-1.0,,,,,856
V1,2679183.239,1513905.3994,,,0.0,-1.0,,,,,856
V2,2721402.4398,1512995.6989,,,0.0,-1.0,,,,,856
V3,2734423.2864,1687336.7699,,,0.0,-1.0,,,,,856
V0,-2889712.1963,2039818.4276,,,0.0,-1.0,,,,,857
V1,-2894736.7755,1928419.5351,,,0.0,-1.0,,,,,857
V2,-2822418.6171,1929853.8296,,,0.0,-1.0,,,,,857
V3,-2820050.3634,2041464.9855,,,0.0,-1.0,,,,,857
V0,3065721.0515,-1663217.5769,,,1.0,0.0150782382150051,,,,,858
V1,3050377.4362,-1836000.0277,,,1.0,0.0150782382150051,,,,,858
V2,3099683.204,-1836994.6335,,,1.0,0.0150782382150051,,,,,858
V3,3107567.2751,-1664057.5337,,,1.0,0.0150782382150051,,,,,858
V0,5095444.8357,-1651637.0894,,,3.99114512992226,0.0492441384476985,,,,,859
V1,5089925.986,-1824674.2563,,,3.99114512992226,0.0492441384476985,,,,,859
V2,5137685.2629,-1824862.261,,,3.99114512992226,0.0492441384476985,,,,,859
V3,5138837.5502,-1651797.8031,,,3.99114512992226,0.0492441384476985,,,,,859
V0,-3280016.169,1929268.5889,,,0.0,-1.0,,,,,860
V1,-3288628.0005,1757059.2495,,,0.0,-1.0,,,,,860
V2,-3246994.0404,1756307.2304,,,0.0,-1.0,,,,,860
V3,-3230164.5809,1928367.9854,,,0.0,-1.0,,,,,860
V0,4106933.9352,-1671501.9163,,,7.475609701515467,0.0008598320169582,,,,,861
V1,4099262.1275,-1844366.24,,,7.475609701515467,0.0008598320169582,,,,,861
V2,4148537.5719,-1844717.9909,,,7.475609701515467,0.0008598320169582,,,,,861
V3,4148840.8054,-1671802.1174,,,7.475609701515467,0.0008598320169582,,,,,861
V0,4352492.4269,1760685.9222,,,2.2579396572243486,0.0043462581865587,,,,,862
V1,4351673.6965,1587151.4524,,,2.2579396572243486,0.0043462581865587,,,,,862
V2,4394702.5307,1586945.2536,,,2.2579396572243486,0.0043462581865587,,,,,862
V3,4400251.7038,1760446.3677,,,2.2579396572243486,0.0043462581865587,,,,,862
V0,4803006.4442,1776966.529,,,0.0,-1.0,,,,,863
V1,4801581.2467,1603559.4173,,,0.0,-1.0,,,,,863
V2,4845398.4881,1603435.0916,,,0.0,-1.0,,,,,863
V3,4850007.6374,1776820.977,,,0.0,-1.0,,,,,863
V0,-1222273.609,1907605.5874,,,1.4717135515494038,0.0004475970344606,,,,,864
V1,-1222795.1706,1735202.1785,,,1.4717135515494038,0.0004475970344606,,,,,864
V2,-1180445.5794,1734989.915,,,1.4717135515494038,0.0004475970344606,,,,,864
V3,-1173610.6963,1907356.9359,,,1.4717135515494038,0.0004475970344606,,,,,864
V0,-2823622.4541,2038593.3642,,,0.0,-1.0,,,,,865
V1,-2828644.0009,1928004.1052,,,0.0,-1.0,,,,,865
V2,-2756447.1359,1929438.3997,,,0.0,-1.0,,,,,865
V3,-2754094.0439,2040239.9221,,,0.0,-1.0,,,,,865
V0,-4315012.7658,1941294.8297,,,0.0,-1.0,,,,,866
V1,-4316528.9333,1769176.4603,,,0.0,-1.0,,,,,866
V2,-4275198.2067,1768839.8711,,,0.0,-1.0,,,,,866
V3,-4265343.1178,1940888.4968,,,0.0,-1.0,,,,,866
V0,-1336598.7048,-1493755.5331,,,1.2285443100344862,0.0049158687747971,,,,,867
V1,-1341859.8061,-1667872.2112,,,1.2285443100344862,0.0049158687747971,,,,,867
V2,-1294558.4118,-1668148.1537,,,1.2285443100344862,0.0049158687747971,,,,,867
V3,-1293976.2034,-1493995.0875,,,1.2285443100344862,0.0049158687747971,,,,,867
V0,-1067069.6045,-1467468.2206,,,0.0,-1.0,,,,,868
V1,-1071032.8664,-1641766.8388,,,0.0,-1.0,,,,,868
V2,-1024786.7247,-1641924.5203,,,0.0,-1.0,,,,,868
V3,-1023588.9523,-1467604.6756,,,0.0,-1.0,,,,,868
V0,4996408.7732,-1651691.6714,,,1.6307689969650372,0.015254373984019,,,,,869
V1,4991132.5103,-1824649.9976,,,1.6307689969650372,0.015254373984019,,,,,869
V2,5038285.3202,-1824822.8407,,,1.6307689969650372,0.015254373984019,,,,,869
V3,5039528.5775,-1651840.2558,,,1.6307689969650372,0.015254373984019,,,,,869
V0,1852295.7962,1766086.5109,,,1.3803985737639293,0.0300230564765861,,,,,870
V1,1847441.0278,1592688.4962,,,1.3803985737639293,0.0300230564765861,,,,,870
V2,1888814.2071,1592012.2854,,,1.3803985737639293,0.0300230564765861,,,,,870
V3,1900749.4778,1765292.0391,,,1.3803985737639293,0.0300230564765861,,,,,870
V0,4173827.2462,-1665246.2091,,,0.7667724496358733,0.0006182669720837,,,,,871
V1,4166761.9055,-1838068.0802,,,0.7667724496358733,0.0006182669720837,,,,,871
V2,4215279.2662,-1838380.4107,,,0.7667724496358733,0.0006182669720837,,,,,871
V3,4215430.883,-1665516.0869,,,0.7667724496358733,0.0006182669720837,,,,,871
V0,3109750.5564,1644629.3631,,,1.0,0.010197877718947,,,,,872
V1,3104049.7665,1469991.1233,,,1.0,0.010197877718947,,,,,872
V2,3145744.3733,1469157.2312,,,1.0,0.010197877718947,,,,,872
V3,3157176.2764,1643677.2099,,,1.0,0.010197877718947,,,,,872
V0,-1157697.0019,1902132.2226,,,0.0,-1.0,,,,,873
V1,-1158421.73,1729743.9754,,,0.0,-1.0,,,,,873
V2,-1116072.1388,1729555.9707,,,0.0,-1.0,,,,,873
V3,-1109728.4939,1901913.8945,,,0.0,-1.0,,,,,873
V0,1876721.2549,-1662547.4309,,,0.0,-1.0,,,,,874
V1,1863145.491,-1835260.1379,,,0.0,-1.0,,,,,874
V2,1911490.0085,-1836100.0947,,,0.0,-1.0,,,,,874
V3,1918191.469,-1663272.159,,,0.0,-1.0,,,,,874
V0,4930728.3962,-1651012.4284,,,1.0900321902839678,0.0147875016212018,,,,,875
V1,4925634.0733,-1823928.3018,,,1.0900321902839678,0.0147875016212018,,,,,875
V2,4972423.003,-1824089.0156,,,1.0900321902839678,0.0147875016212018,,,,,875
V3,4973696.5838,-1651151.9158,,,1.0900321902839678,0.0147875016212018,,,,,875
V0,-4452286.5732,1935214.9979,,,2.1413595046357545,0.0087595529510518,,,,,876
V1,-4452438.1899,1763117.8549,,,2.1413595046357545,0.0087595529510518,,,,,876
V2,-4411319.7267,1762872.2358,,,2.1413595046357545,0.0087595529510518,,,,,876
V3,-4403223.3922,1934923.8938,,,2.1413595046357545,0.0087595529510518,,,,,876
V0,1920135.1957,1763560.5758,,,0.0,-1.0,,,,,877
V1,1914983.2585,1590189.8521,,,0.0,-1.0,,,,,877
V2,1956229.0798,1589492.415,,,0.0,-1.0,,,,,877
V3,1968349.3229,1762747.91,,,0.0,-1.0,,,,,877
V0,-3750755.861,-1546818.364,,,1.3820260927268857,0.018950251973745,,,,,878
V1,-3761429.6804,-1720367.9955,,,1.3820260927268857,0.018950251973745,,,,,878
V2,-3713397.4933,-1721107.8852,,,1.3820260927268857,0.018950251973745,,,,,878
V3,-3709485.7811,-1547455.1543,,,1.3820260927268857,0.018950251973745,,,,,878
V0,4194568.4179,1754621.2521,,,1.564689841978299,0.0129540429226889,,,,,879
V1,4194234.861,1581186.8493,,,1.564689841978299,0.0129540429226889,,,,,879
V2,4235959.7912,1580920.0039,,,1.564689841978299,0.0129540429226889,,,,,879
V3,4242206.4014,1754311.9539,,,1.564689841978299,0.0129540429226889,,,,,879
V0,-3686955.5317,-1544343.9786,,,1.0,0.0153503545538756,,,,,880
V1,-3697750.6445,-1717896.6424,,,1.0,0.0153503545538756,,,,,880
V2,-3649809.4275,-1718651.6938,,,1.0,0.0153503545538756,,,,,880
V3,-3645746.0985,-1544992.8983,,,1.0,0.0153503545538756,,,,,880
V0,2306600.2323,-1698113.6886,,,0.0,-1.0,,,,,881
V1,2289215.8555,-1870447.3537,,,0.0,-1.0,,,,,881
V2,2338003.094,-1871487.4447,,,0.0,-1.0,,,,,881
V3,2347476.1086,-1698987.0011,,,0.0,-1.0,,,,,881
V0,-3814343.9269,-1547518.8334,,,1.0,0.0158571901652083,,,,,882
V1,-3824866.1295,-1721050.2709,,,1.0,0.0158571901652083,,,,,882
V2,-3776924.9125,-1721778.0313,,,1.0,0.0158571901652083,,,,,882
V3,-3773134.4937,-1548140.462,,,1.0,0.0158571901652083,,,,,882
V0,4902830.9138,1775577.7196,,,0.0,-1.0,,,,,883
V1,4901527.0098,1602316.1599,,,0.0,-1.0,,,,,883
V2,4944434.5506,1602185.7695,,,0.0,-1.0,,,,,883
V3,4949104.3466,1775426.1028,,,0.0,-1.0,,,,,883
V0,-3909710.864,-1549793.0846,,,1.0,0.1377131404366831,,,,,884
V1,-3920020.8031,-1723285.1018,,,1.0,0.1377131404366831,,,,,884
V2,-3872200.8795,-1723985.5712,,,1.0,0.1377131404366831,,,,,884
V3,-3868622.7241,-1550393.487,,,1.0,0.1377131404366831,,,,,884
V0,-2955486.5757,2038796.5306,,,0.0,-1.0,,,,,885
V1,-2960483.8639,1930060.0283,,,0.0,-1.0,,,,,885
V2,-2888211.1905,1931497.3552,,,0.0,-1.0,,,,,885
V3,-2885845.9691,2040443.0886,,,0.0,-1.0,,,,,885
V0,-3347000.4501,1924407.7558,,,1.3454583869503136,0.023925450186938,,,,,886
V1,-3355157.4314,1752310.6128,,,1.3454583869503136,0.023925450186938,,,,,886
V2,-3314372.525,1751594.9817,,,1.3454583869503136,0.023925450186938,,,,,886
V3,-3298179.8559,1923552.6373,,,1.3454583869503136,0.023925450186938,,,,,886
V0,4865169.3126,-1647534.3401,,,0.0,-1.0,,,,,887
V1,4860226.6065,-1820410.7932,,,0.0,-1.0,,,,,887
V2,4906591.0093,-1820562.41,,,0.0,-1.0,,,,,887
V3,4907864.59,-1647664.7305,,,0.0,-1.0,,,,,887
V0,-3973116.9897,-1549859.796,,,2.4515798003757703,0.0030846739515088,,,,,888
V1,-3983214.6654,-1723324.5221,,,2.4515798003757703,0.0030846739515088,,,,,888
V2,-3935576.6819,-1724006.7975,,,2.4515798003757703,0.0030846739515088,,,,,888
V3,-3932150.1433,-1550445.0367,,,2.4515798003757703,0.0030846739515088,,,,,888
V0,4339726.2964,-1657152.9068,,,0.9711254546815108,0.0001188761675614,,,,,889
V1,4333722.273,-1829947.4869,,,0.9711254546815108,0.0001188761675614,,,,,889
V2,4380905.4063,-1830184.009,,,0.9711254546815108,0.0001188761675614,,,,,889
V3,4381542.1966,-1657353.0409,,,0.9711254546815108,0.0001188761675614,,,,,889
V0,-4192627.7235,-1556449.0601,,,0.0,-1.0,,,,,890
V1,-4201269.8783,-1729880.4305,,,0.0,-1.0,,,,,890
V2,-4153662.2182,-1730420.1861,,,0.0,-1.0,,,,,890
V3,-4151660.877,-1556916.0397,,,0.0,-1.0,,,,,890
V0,-3622791.3222,-1536954.1781,,,1.2496007527858068,0.00060020017741,,,,,891
V1,-3633616.7583,-1710488.6479,,,1.2496007527858068,0.00060020017741,,,,,891
V2,-3586100.0682,-1711255.8287,,,1.2496007527858068,0.00060020017741,,,,,891
V3,-3581854.7992,-1537615.2271,,,1.2496007527858068,0.00060020017741,,,,,891
V0,2503641.3633,-1685192.909,,,0.0,-1.0,,,,,892
V1,2486581.4464,-1857562.9621,,,0.0,-1.0,,,,,892
V2,2534841.0586,-1858606.0854,,,0.0,-1.0,,,,,892
V3,2544253.4266,-1686072.2861,,,0.0,-1.0,,,,,892
V0,-1437851.4042,-1482878.5473,,,1.1500634225591884,0.0157137850413406,,,,,893
V1,-1443652.2611,-1656870.8997,,,1.1500634225591884,0.0157137850413406,,,,,893
V2,-1396742.038,-1657210.5212,,,1.1500634225591884,0.0157137850413406,,,,,893
V3,-1396575.2596,-1483178.7484,,,1.1500634225591884,0.0157137850413406,,,,,893
V0,2866338.9578,-1663863.4643,,,0.0,-1.0,,,,,894
V1,2850255.4527,-1836397.2635,,,0.0,-1.0,,,,,894
V2,2898269.4458,-1837425.2251,,,0.0,-1.0,,,,,894
V3,2907002.5707,-1664733.7444,,,0.0,-1.0,,,,,894
V0,1812105.2275,-1659639.4216,,,0.0,-1.0,,,,,895
V1,1798978.2491,-1832279.3526,,,0.0,-1.0,,,,,895
V2,1846664.75,-1833082.9213,,,0.0,-1.0,,,,,895
V3,1853072.0739,-1660330.794,,,0.0,-1.0,,,,,895
V0,-5452896.4906,-1646194.048,,,1.0,0.0124376293969301,,,,,896
V1,-5457899.8434,-1819570.8364,,,1.0,0.0124376293969301,,,,,896
V2,-5410079.9198,-1807211.0388,,,1.0,0.0124376293969301,,,,,896
V3,-5408836.6624,-1646351.7294,,,1.0,0.0124376293969301,,,,,896
V0,4406013.1404,-1652810.6031,,,0.0,-1.0,,,,,897
V1,4400403.3206,-1825599.1185,,,0.0,-1.0,,,,,897
V2,4447040.6335,-1825805.3172,,,0.0,-1.0,,,,,897
V3,4447859.364,-1652986.4785,,,0.0,-1.0,,,,,897
V0,4969724.2249,1776487.4201,,,1.3093227062589632,0.0012878653241585,,,,,898
V1,4968450.6441,1603325.9275,,,1.3093227062589632,0.0012878653241585,,,,,898
V2,5010873.0114,1603186.4401,,,1.3093227062589632,0.0012878653241585,,,,,898
V3,5015603.4541,1776329.7387,,,1.3093227062589632,0.0012878653241585,,,,,898
V0,-3413105.354,1930436.0379,,,0.0,-1.0,,,,,899
V1,-3421050.0718,1758448.0589,,,0.0,-1.0,,,,,899
V2,-3380659.3691,1757759.7189,,,0.0,-1.0,,,,,899
V3,-3364678.9634,1929611.2428,,,0.0,-1.0,,,,,899
V0,-4099201.4808,-1550526.9097,,,1.0,0.0141682410847553,,,,,900
V1,-4108632.0428,-1723934.0215,,,1.0,0.0141682410847553,,,,,900
V2,-4061327.6161,-1724552.6178,,,1.0,0.0141682410847553,,,,,900
V3,-4058446.8978,-1551057.5684,,,1.0,0.0141682410847553,,,,,900
V0,-3121425.0463,2043611.8787,,,0.0,-1.0,,,,,901
V1,-3126458.7224,1936876.7175,,,0.0,-1.0,,,,,901
V2,-3053591.7114,1938332.2383,,,0.0,-1.0,,,,,901
V3,-3051196.1667,2045273.5983,,,0.0,-1.0,,,,,901
V0,264692.5259,-1550293.4199,,,0.0,-1.0,,,,,902
V1,261026.4328,-1723809.6957,,,0.0,-1.0,,,,,902
V2,306062.6729,-1723903.6981,,,0.0,-1.0,,,,,902
V3,307636.4548,-1550375.293,,,0.0,-1.0,,,,,902
V0,-1915177.328,1825969.0633,,,1.7618228854911049,0.0002766210119986,,,,,903
V1,-1920932.6999,1653216.9359,,,1.7618228854911049,0.0002766210119986,,,,,903
V2,-1880156.8905,1652564.9839,,,1.7618228854911049,0.0002766210119986,,,,,903
V3,-1867727.3492,1825210.9796,,,1.7618228854911049,0.0002766210119986,,,,,903
V0,132628.2701,-1545332.5198,,,0.0,-1.0,,,,,904
V1,128498.2298,-1718863.9573,,,0.0,-1.0,,,,,904
V2,173837.7033,-1719003.4447,,,0.0,-1.0,,,,,904
V3,175129.4781,-1545453.8132,,,0.0,-1.0,,,,,904
V0,364286.538,-1555645.4913,,,1.0,0.0051808126466688,,,,,905
V1,360966.1312,-1729110.2174,,,1.0,0.0051808126466688,,,,,905
V2,405656.685,-1729170.8641,,,1.0,0.0051808126466688,,,,,905
V3,407436.6657,-1555697.041,,,1.0,0.0051808126466688,,,,,905
V0,-3558596.7894,-1530652.9859,,,0.0,-1.0,,,,,906
V1,-3569513.1955,-1704151.0677,,,0.0,-1.0,,,,,906
V2,-3522421.0323,-1704930.3778,,,0.0,-1.0,,,,,906
V3,-3517963.4998,-1531326.1642,,,0.0,-1.0,,,,,906
V0,2667775.5945,-1672360.0671,,,1.071114602073048,0.0113516011072035,,,,,907
V1,2651143.2368,-1844772.5729,,,1.071114602073048,0.0113516011072035,,,,,907
V2,2698935.8694,-1845806.5992,,,1.071114602073048,0.0113516011072035,,,,,907
V3,2708163.265,-1673233.3796,,,1.071114602073048,0.0113516011072035,,,,,907
V0,2766359.8391,-1667802.4675,,,0.9651469779681978,0.0004821955790003,,,,,908
V1,2749891.2275,-1840251.3614,,,0.9651469779681978,0.0004821955790003,,,,,908
V2,2797626.2457,-1841282.3553,,,0.9651469779681978,0.0004821955790003,,,,,908
V3,2806780.8652,-1668678.8123,,,0.9651469779681978,0.0004821955790003,,,,,908
V0,-2434012.8861,-1401251.1202,,,0.0,-1.0,,,,,909
V1,-2436848.1194,-1576186.5289,,,0.0,-1.0,,,,,909
V2,-2394619.8216,-1575240.4403,,,0.0,-1.0,,,,,909
V3,-2389210.1358,-1400402.0664,,,0.0,-1.0,,,,,909
V0,67090.4128,-1541223.7058,,,4.448378766139858,0.0001629349302611,,,,,910
V1,62775.4001,-1714758.1756,,,4.448378766139858,0.0001629349302611,,,,,910
V2,108172.488,-1714918.8894,,,4.448378766139858,0.0001629349302611,,,,,910
V3,109339.937,-1541363.1932,,,4.448378766139858,0.0001629349302611,,,,,910
V0,2055356.1123,1749824.0981,,,3.0665104730430204,0.0065147870698156,,,,,911
V1,2049482.4793,1576562.5384,,,3.0665104730430204,0.0065147870698156,,,,,911
V2,2090182.4803,1575825.681,,,3.0665104730430204,0.0065147870698156,,,,,911
V3,2102384.5965,1748975.0443,,,3.0665104730430204,0.0065147870698156,,,,,911
V0,-2011196.2171,1821165.8446,,,0.0,-1.0,,,,,912
V1,-2017555.0237,1648386.4262,,,0.0,-1.0,,,,,912
V2,-1976873.2167,1647692.0215,,,0.0,-1.0,,,,,912
V3,-1963913.0168,1820356.2112,,,0.0,-1.0,,,,,912
V0,4734415.0255,-1644195.7392,,,0.0,-1.0,,,,,913
V1,4729684.5829,-1817008.5133,,,0.0,-1.0,,,,,913
V2,4775381.872,-1817151.033,,,0.0,-1.0,,,,,913
V3,4776685.776,-1644317.0326,,,0.0,-1.0,,,,,913
V0,4504958.2329,-1648850.3735,,,1.0,0.0706378451974214,,,,,914
V1,4499833.5866,-1821623.7272,,,1.0,0.0706378451974214,,,,,914
V2,4545834.1092,-1821799.6026,,,1.0,0.0706378451974214,,,,,914
V3,4546895.4265,-1648998.9579,,,1.0,0.0706378451974214,,,,,914
V0,-1725295.5399,1824437.7341,,,0.0,-1.0,,,,,915
V1,-1729492.2916,1651682.5744,,,0.0,-1.0,,,,,915
V2,-1688837.7757,1651139.7864,,,0.0,-1.0,,,,,915
V3,-1678021.4366,1823807.0084,,,0.0,-1.0,,,,,915
V0,3854673.983,1777024.1434,,,0.0,-1.0,,,,,916
V1,3851490.0312,1603941.4915,,,0.0,-1.0,,,,,916
V2,3892062.674,1603432.0592,,,0.0,-1.0,,,,,916
V3,3901735.8228,1776432.8381,,,0.0,-1.0,,,,,916
V0,-1662611.1099,1823573.5186,,,0.0,-1.0,,,,,917
V1,-1666158.9419,1650827.4559,,,0.0,-1.0,,,,,917
V2,-1625565.0727,1650327.1207,,,0.0,-1.0,,,,,917
V3,-1615424.9443,1822994.3427,,,0.0,-1.0,,,,,917
V0,4669098.5287,-1644380.7116,,,0.0,-1.0,,,,,918
V1,4664398.4094,-1817175.2917,,,0.0,-1.0,,,,,918
V2,4709974.4051,-1817317.8115,,,0.0,-1.0,,,,,918
V3,4711278.3092,-1644502.005,,,0.0,-1.0,,,,,918
V0,-1600099.523,1823336.9965,,,4.450608486993043,0.0029115332778826,,,,,919
V1,-1603010.5646,1650593.9661,,,4.450608486993043,0.0029115332778826,,,,,919
V2,-1562486.4391,1650142.1482,,,4.450608486993043,0.0029115332778826,,,,,919
V3,-1553007.3598,1822809.3702,,,4.450608486993043,0.0029115332778826,,,,,919
V0,-222570.3598,-1527966.337,,,1.0,0.0093316276281064,,,,,920
V1,-227097.636,-1701546.2919,,,1.0,0.0093316276281064,,,,,920
V2,-181752.0978,-1701731.2643,,,1.0,0.0093316276281064,,,,,920
V3,-180766.5889,-1528127.0508,,,1.0,0.0093316276281064,,,,,920
V0,430394.4743,-1555002.6363,,,1.5511188214760847,0.0095749871287305,,,,,921
V1,427222.6518,-1728412.7803,,,1.5511188214760847,0.0095749871287305,,,,,921
V2,471506.8728,-1728458.2654,,,1.5511188214760847,0.0095749871287305,,,,,921
V3,473347.5002,-1555045.0889,,,1.5511188214760847,0.0095749871287305,,,,,921
V0,4570790.2266,-1643107.1309,,,1.950142603573492,0.0109528258147997,,,,,922
V1,4565938.4906,-1815886.5493,,,1.950142603573492,0.0109528258147997,,,,,922
V2,4611544.8096,-1816041.1984,,,1.950142603573492,0.0109528258147997,,,,,922
