start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Mg/Si,Ca/Si,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20200112T175202,-58.7594,-64.5019,-64.515,-58.7702,-45.5218,-45.8502,-43.7649,-43.7389,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T175338,-53.926,-59.6677,-59.6788,-53.9355,-45.331,-45.5676,-43.7922,-43.7728,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T175514,-49.0896,-54.8302,-54.8399,-49.0981,-45.1872,-45.3651,-43.8122,-43.7969,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T175650,-44.2501,-49.9892,-49.9979,-44.2578,-45.0757,-45.2137,-43.8269,-43.815,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T175826,-39.4071,-45.1446,-45.1524,-39.4142,-44.9872,-45.0968,-43.8378,-43.8282,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T180002,-34.5604,-40.2959,-40.3031,-34.5671,-44.9155,-45.0044,-43.8453,-43.8377,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T180138,-29.7096,-35.4432,-35.45,-29.7159,-44.8569,-44.9299,-43.8503,-43.8443,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T180314,-24.8543,-30.586,-30.5924,-24.8603,-44.8082,-44.8691,-43.8527,-43.8484,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T180450,-19.9949,-25.724,-25.73,-20.0006,-44.7672,-44.8186,-43.853,-43.8495,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T180626,-15.1309,-20.8576,-20.8633,-15.1364,-44.7326,-44.7763,-43.8527,-43.8467,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T180802,-10.2622,-15.9863,-15.9919,-10.2676,-44.703,-44.7405,-43.8503,-43.8415,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T180938,-5.3887,-11.1102,-11.1157,-5.394,-44.6777,-44.7101,-43.8455,-43.8339,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T181114,-0.5103,-6.2292,-6.2345,-0.5156,-44.6559,-44.684,-43.8383,-43.8234,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T181250,4.3731,-1.3431,-1.3483,4.3679,-44.6371,-44.6616,-43.8283,-43.8099,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T181426,9.2496,3.548,3.5428,9.2447,-44.6152,-44.6422,-43.8152,-43.7877,0.0,0.0,0.0,-1.0,-1.0,-1.0
