V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Mg/Si,Mg/Si_uncer,polygon_area
84.0392,78.3453,78.2895,83.9304,-103.689,-105.775,-101.954,-96.2868,0.0,-1.0,32.12222601999998
-79.7492,-85.8974,-85.2014,-80.3816,3.9044,-2.2093,3.6953,9.5897,0.0,-1.0,31.58857701000003
-76.6394,-82.161,-82.8398,-77.275,36.8487,32.1057,37.0668,42.0621,0.0,-1.0,31.399649580000013
83.4423,77.7263,77.721,83.4326,-178.333,-179.032,-174.247,-172.248,0.0,-1.0,31.064620500000007
-76.2599,-82.0217,-82.0215,-76.2598,145.632,144.175,149.913,150.625,0.0,-1.0,30.914506949999982
87.8756,83.7906,84.4588,87.8787,49.4661,-13.3187,4.5684,58.4769,0.0,-1.0,30.882459355000385
-76.5807,-82.3494,-82.2582,-76.5278,66.5685,66.1591,70.8011,72.6877,0.0,-1.0,30.853315330000086
84.4694,78.9073,79.3427,84.8948,-92.1663,-91.5499,-87.8797,-84.5336,0.0,-1.0,30.81824135499998
-76.6594,-82.4156,-82.3767,-76.6371,131.687,131.202,136.101,137.373,0.0,-1.0,30.39387864999991
-76.7005,-82.4551,-82.3383,-76.6332,91.8217,91.0275,95.571,97.8601,0.0,-1.0,30.174440974999968
-76.0552,-81.8135,-81.82,-76.0591,155.242,153.69,159.397,159.995,0.0,-1.0,30.128298000000015
83.8843,78.1943,78.1914,83.8788,152.848,152.048,156.734,158.653,0.0,-1.0,29.84578574999994
-76.8526,-82.6006,-82.5122,-76.8023,117.678,117.22,121.672,123.668,0.0,-1.0,29.825755500000053
83.2618,77.553,77.5564,83.268,169.403,168.464,173.442,174.83,0.8487072261254371,0.0008638855045421,29.701730700000084
82.3445,76.6205,76.669,82.4282,-69.1682,-71.0427,-65.1277,-64.7195,0.0,-1.0,29.676666724999976
83.1548,77.4475,77.4035,83.0746,-58.9037,-59.996,-56.3243,-52.2374,0.0,-1.0,29.568288960000004
-76.5418,-82.1441,-82.6796,-77.0671,102.727,98.46,102.422,108.328,0.0,-1.0,29.509662700000007
83.3384,77.6349,77.636,83.3404,164.309,163.433,168.264,169.771,0.0,-1.0,29.35353185000001
83.3107,77.6162,77.5599,83.2072,-75.5384,-77.5098,-73.8893,-68.9181,0.4217856550393856,0.0004465325207814,29.31463322999997
88.3081,82.6156,82.6069,88.2701,179.211,-179.483,-172.727,179.842,0.0,-1.0,29.275134500000373
-82.0681,-87.5945,-86.9552,-81.5194,144.322,148.467,153.152,149.445,0.0,-1.0,29.211358399999874
83.7419,78.0548,78.0552,83.7428,146.071,145.17,149.912,151.524,0.0,-1.0,28.990449900000073
82.9785,77.2712,77.2426,82.9271,-52.0939,-52.3074,-48.7126,-45.6264,0.0,-1.0,28.722921285000012
83.5969,77.9103,77.918,83.6113,138.926,137.784,142.822,143.917,0.0,-1.0,28.519894850000053
-76.1322,-81.8671,-81.8763,-76.1378,-178.185,-179.747,-174.263,-173.733,0.0,-1.0,28.507666000000018
82.2112,76.6778,76.034,81.5323,-36.8264,-41.0789,-36.6008,-32.0393,0.0,-1.0,28.467296159999997
-76.1123,-81.6559,-82.3,-76.7246,45.7137,41.5243,45.6804,50.7044,0.0,-1.0,28.319746239999965
80.0433,74.3637,74.1364,79.833,-82.9742,-87.4528,-83.748,-77.1508,0.0,-1.0,28.310369729999994
83.0565,77.3739,77.4095,83.1209,119.364,117.45,123.15,123.458,0.0,-1.0,27.84265900000001
83.1706,77.4816,77.5028,83.2093,128.071,126.569,132.089,132.319,0.0,-1.0,27.80187429999996
82.9318,77.2539,77.2967,83.0083,114.493,112.408,118.049,118.569,0.0,-1.0,27.590248750000026
-79.1696,-85.324,-84.6294,-79.8074,13.0907,7.5256,12.7106,17.8809,0.0,-1.0,27.220503640000004
82.7478,77.0763,77.1274,82.8384,105.18,102.915,108.466,109.223,0.0,-1.0,27.193871899999937
82.7026,77.0018,76.9856,82.6739,-46.6021,-46.8335,-43.1048,-40.863,0.0,-1.0,26.98519191500001
85.6607,80.1783,80.7337,86.2644,21.1664,24.9173,28.873,26.3428,0.0,-1.0,26.963288380000016
-76.085,-81.5798,-82.2234,-76.6803,-158.452,-162.655,-158.42,-154.0,1.182079700312156,0.00018484681981,26.64231800000005
82.6059,76.9427,76.9965,82.7003,96.2677,93.9394,99.3107,100.195,0.0,-1.0,26.30526971999996
-75.3474,-80.9041,-81.5389,-75.9554,51.6554,47.8772,51.5553,56.3627,0.0,-1.0,26.02130419000001
81.9514,76.1979,76.1223,81.383,39.0386,31.6341,36.2893,42.9604,0.0,-1.0,25.88336995000006
82.4657,76.8091,76.8671,82.5662,82.9629,80.5557,85.7945,86.8186,1.0,0.7971863437312521,25.682638149999995
82.4354,76.7399,76.7404,82.4365,-19.5948,-20.3186,-16.0599,-14.8444,0.0,-1.0,25.656240170000004
83.0015,77.7414,77.4545,83.6758,-1.1148,-8.3017,-3.347,3.3138,0.0,-1.0,25.592205409999988
-78.5614,-84.7158,-84.0136,-79.1908,-138.068,-144.127,-139.022,-133.938,0.0,-1.0,25.140807900000063
81.9278,76.2464,76.2913,82.0038,109.081,107.234,112.302,112.862,0.0,-1.0,25.133403700000013
83.1214,77.0618,77.6156,82.7177,89.5769,89.9434,94.3097,94.1618,0.0,-1.0,24.99695512
78.6327,72.908,72.739,78.518,-131.901,-134.385,-131.019,-126.776,1.0960895096832648,3.796868595930218e-05,24.896591649999984
81.8539,76.1794,76.2306,81.9396,67.4002,65.4184,70.4078,71.1531,0.0,-1.0,24.78615801499996
-75.5688,-81.0627,-81.6948,-76.1567,-162.669,-166.562,-162.706,-158.545,0.0,-1.0,24.465310000000148
-80.9876,-86.3207,-86.7212,-80.9818,168.746,165.049,164.285,177.681,0.0,-1.0,24.305001149999963
-74.3458,-79.919,-80.5471,-74.9499,64.8223,61.4333,64.7655,69.2422,0.0,-1.0,24.071543345000006
82.1096,76.4216,76.4219,82.1101,-32.4781,-33.138,-29.1356,-28.0347,0.0,-1.0,24.019925330000014
82.0323,76.3436,76.3461,82.0365,-27.2074,-27.9285,-23.8512,-22.88,0.0,-1.0,23.906645840000017
-74.9158,-80.3937,-81.0713,-75.5537,4.0561,-0.0259,3.9772,7.763,0.0,-1.0,23.781348974999958
-75.4416,-80.8971,-81.6075,-76.0759,-123.483,-129.228,-124.852,-120.532,0.7844669379828622,0.0020152162369925,23.509221800000077
-75.0639,-80.7847,-80.7227,-75.0251,-116.809,-117.17,-113.628,-112.229,0.0,-1.0,23.140709200000007
-74.8311,-80.521,-80.5829,-74.8697,59.7176,57.154,62.1239,62.8257,0.0,-1.0,23.110603624999964
-74.6332,-80.1125,-80.7906,-75.271,8.2245,4.1505,8.0587,11.76,0.0,-1.0,23.026007299999982
-73.7816,-79.5201,-79.5248,-73.7847,-9.5043,-10.4747,-6.195,-5.784,0.3130240079567238,0.0025799614915135,22.959893730000005
-74.5266,-80.2571,-80.184,-74.48,-106.432,-106.898,-103.365,-101.92,0.0,-1.0,22.940451449999976
-74.7829,-80.5078,-80.4416,-74.741,-112.203,-112.607,-109.085,-107.678,0.0,-1.0,22.93630735000003
82.6576,77.5515,77.3571,83.3399,49.8651,40.3962,45.3049,53.9788,0.0,-1.0,22.799154810000022
79.0222,73.2768,73.3121,79.0751,-64.4965,-65.4958,-61.1379,-60.9708,0.0,-1.0,22.656186440000017
79.4475,73.7228,73.7622,79.5075,-120.996,-122.144,-117.744,-117.483,1.0,0.7537788148201681,22.655513849999963
-76.5226,-82.6673,-82.2683,-77.1441,-94.6771,-101.458,-96.8228,-91.5206,0.0,-1.0,22.62309446999997
-75.0208,-80.482,-81.1827,-75.6504,-128.541,-133.861,-129.692,-125.621,1.3458302176085128,0.0007113464880898,22.606442199999975
-73.2125,-78.9316,-79.0009,-73.2583,-77.1077,-79.4097,-74.7085,-73.9986,1.0335423058094009,0.0001268111533801,22.46649629999998
83.8931,78.4203,79.0299,84.5483,0.658,4.0838,7.5372,4.6155,0.0,-1.0,22.37075052
83.1879,77.6736,78.1694,83.7177,-139.183,-136.628,-133.6,-134.445,0.38352675511006,0.0003289768713846,22.34979789999998
-73.4657,-79.0569,-79.6212,-74.0144,90.6693,87.4283,90.5748,94.7565,0.0,-1.0,22.316109425000015
-74.1191,-79.6032,-80.2858,-74.7607,15.6072,11.5987,15.3877,18.9501,0.0,-1.0,22.135474814999966
-73.6471,-79.1398,-79.8281,-74.2949,20.0664,16.2396,19.9787,23.4111,0.0,-1.0,21.951071885000044
-75.2421,-80.9313,-80.8499,-75.1912,-89.161,-89.9227,-86.5625,-84.7809,0.0,-1.0,21.874917945000043
-75.2285,-80.9157,-80.8347,-75.1779,-82.6774,-83.4459,-80.1179,-78.332,0.0,-1.0,21.677722640000013
-72.9474,-78.5484,-79.1071,-73.4883,99.1168,96.084,99.1579,103.062,0.0,-1.0,21.595178354999987
-72.8932,-78.3987,-79.092,-73.5476,24.6668,21.1545,24.7914,28.0183,0.0,-1.0,21.575885250000027
-72.3278,-77.8444,-78.5343,-72.9767,30.4297,27.2326,30.7852,33.8557,0.0,-1.0,21.418368750000006
79.2913,73.7216,73.9492,78.9199,13.8898,11.3419,15.6321,17.6363,0.0,-1.0,21.341156165
-72.8527,-78.6007,-78.5877,-72.8439,-45.6877,-46.1435,-42.485,-41.9635,0.0,-1.0,21.204801679999996
-72.6278,-78.3827,-78.3598,-72.6121,-49.6146,-49.8577,-46.3594,-45.7395,0.0,-1.0,21.19498976000004
-72.4086,-78.1695,-78.1262,-72.379,-57.3438,-57.4347,-54.1249,-53.3057,0.0,-1.0,21.123505424999976
-71.5627,-77.3277,-77.3225,-71.559,143.091,142.505,146.262,146.649,0.0,-1.0,21.08057944999998
-72.452,-78.2107,-78.1772,-72.429,-53.517,-53.5389,-50.2234,-49.5018,0.0,-1.0,21.077906020000004
-72.2614,-78.0235,-77.9677,-72.223,-64.2238,-64.4496,-61.1475,-60.2098,0.0,-1.0,21.018824444999993
-72.0565,-77.8145,-77.7412,-72.0059,81.0338,80.6443,83.9498,85.0441,0.0,-1.0,20.97471033
-71.9956,-77.7548,-77.6813,-71.9448,85.3531,84.9683,88.2732,89.3608,0.0,-1.0,20.970109125000008
-72.0389,-77.797,-77.7298,-71.9924,75.3135,74.9847,78.2805,79.3113,0.0,-1.0,20.92224806999998
-71.2881,-77.0526,-77.0557,-71.2902,150.415,149.69,153.518,153.811,0.0,-1.0,20.824503400000054
77.2815,71.5162,71.527,77.297,-48.723,-49.1982,-45.545,-45.1815,0.0,-1.0,20.74274127499998
77.3795,71.6193,71.6356,77.4028,-52.3046,-52.8648,-49.1128,-48.9054,0.0,-1.0,20.601086480000006
-74.0465,-79.5118,-80.1548,-74.6467,173.332,169.905,173.327,176.639,1.417509156312736,0.0086776028625121,20.554483350000037
-72.8065,-78.3047,-78.9593,-73.4149,-148.793,-152.024,-148.552,-145.538,1.0618845440441336,0.0001913476838678,20.5427513
-73.5158,-79.0008,-79.6667,-74.1262,-140.165,-144.106,-140.487,-137.181,0.8089696717692763,1.2141499048378222e-05,20.512680649999965
-71.3185,-77.0771,-77.0787,-71.3194,160.249,159.576,163.308,163.615,0.0,-1.0,20.439126050000034
-71.8531,-77.3868,-78.0617,-72.4945,36.4987,33.5026,36.7673,39.8712,0.0,-1.0,20.42708087000001
-71.9115,-77.664,-77.5989,-71.8666,105.631,105.313,108.523,109.536,0.0,-1.0,20.391985499999972
77.3854,71.6321,71.6587,77.4234,-59.4258,-60.1356,-56.2674,-56.2201,0.0,-1.0,20.35706788500001
-71.838,-77.5912,-77.5557,-71.8135,126.93,126.919,130.106,130.812,0.0,-1.0,20.304490650000016
