V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Na/Si,Na/Si_uncer,polygon_area
-79.1102,-84.5565,-85.2281,-79.7161,175.6,168.903,175.561,179.95,0.0,-1.0,33.697832849999976
-77.6926,-83.2958,-83.8192,-78.2122,102.534,97.5627,101.952,109.032,0.0,-1.0,33.65457908999993
81.3265,75.5709,75.3992,81.2001,-158.693,-161.302,-157.046,-151.546,1.9032642462127671,0.000280997758318,33.549015600000075
-76.8529,-82.3664,-83.0543,-77.4934,34.2902,29.3472,34.5877,39.5965,0.0,-1.0,32.50486325999996
-77.1483,-82.6377,-83.3083,-77.7595,-152.623,-157.636,-152.357,-147.446,0.0,-1.0,32.03400059999995
-79.7492,-85.8974,-85.2014,-80.3816,3.9044,-2.2093,3.6953,9.5897,0.0,-1.0,31.58857701000003
83.5022,77.9956,77.3525,82.8195,-11.2231,-16.2036,-11.4174,-5.9439,0.0,-1.0,31.07839665999998
-76.397,-82.1599,-82.1492,-76.3908,141.608,140.386,145.956,146.819,0.0,-1.0,31.043974699999882
85.9428,79.9148,80.4917,85.3725,79.2073,68.2161,75.3882,83.407,0.0,-1.0,30.981806460000058
-76.5016,-82.2734,-82.186,-76.4508,64.2175,63.8626,68.5118,70.3244,0.0,-1.0,30.86772354999999
84.4694,78.9073,79.3427,84.8948,-92.1663,-91.5499,-87.8797,-84.5336,0.0,-1.0,30.81824135499998
84.3722,78.8063,79.2333,84.7915,-85.6651,-85.077,-81.4356,-78.1667,0.0,-1.0,30.41287203500002
-78.7832,-84.945,-84.2416,-79.4247,16.3448,9.8535,15.7221,21.5866,0.0,-1.0,30.30323111500007
-76.0552,-81.8135,-81.82,-76.0591,155.242,153.69,159.397,159.995,0.0,-1.0,30.128298000000015
83.2446,77.5387,77.487,83.1498,-65.5859,-67.127,-63.4174,-58.8231,0.0,-1.0,29.98910249500002
83.8843,78.1943,78.1914,83.8788,152.848,152.048,156.734,158.653,0.0,-1.0,29.84578574999994
-76.7864,-82.536,-82.4532,-76.7391,120.67,120.29,124.73,126.633,0.0,-1.0,29.739963199999977
-76.6682,-82.421,-82.3635,-76.6351,126.966,126.942,131.37,132.899,0.0,-1.0,29.704002850000087
-76.3584,-81.8929,-82.5522,-76.9809,41.9152,37.4843,41.989,47.012,0.0,-1.0,29.687586929999988
-76.8164,-82.5627,-82.4656,-76.761,113.815,113.225,117.654,119.764,0.0,-1.0,29.60642255
83.4147,77.722,77.6644,83.308,-76.4011,-78.4909,-74.8527,-69.7042,1.6628019395712066,0.0006968735819095,29.587761704999984
83.644,77.9486,77.9473,83.6415,158.095,157.254,162.001,163.719,0.0,-1.0,29.532816450000038
83.0912,77.3836,77.343,83.0177,-57.1572,-58.0453,-54.3955,-50.5536,1.2048097909838815,0.0012720970807658,29.311741954999988
88.3081,82.6156,82.6069,88.2701,179.211,-179.483,-172.727,179.842,0.0,-1.0,29.275134500000373
83.7932,78.1059,78.1056,83.7927,147.219,146.337,151.069,152.753,0.0,-1.0,29.19291079999997
83.7767,78.4011,78.0269,84.3674,12.5262,5.4682,11.1689,16.8961,0.0,-1.0,28.805040215000044
82.9947,77.2881,77.2617,82.947,-51.2695,-51.3632,-47.7707,-44.7984,0.0,-1.0,28.71767885999997
-76.1995,-81.9334,-81.9501,-76.2093,-170.92,-172.692,-167.034,-166.602,0.0,-1.0,28.63250330000003
83.5969,77.9103,77.918,83.6113,138.926,137.784,142.822,143.917,0.0,-1.0,28.519894850000053
80.0433,74.3637,74.1364,79.833,-82.9742,-87.4528,-83.748,-77.1508,0.0,-1.0,28.310369729999994
-79.3665,-85.5179,-84.8249,-80.002,9.9971,4.3644,9.6597,14.95,0.0,-1.0,27.95968718999999
83.0565,77.3739,77.4095,83.1209,119.364,117.45,123.15,123.458,0.0,-1.0,27.84265900000001
83.0825,77.3941,77.4198,83.1289,125.567,123.952,129.608,129.617,0.0,-1.0,27.62676115000003
-76.8496,-82.2861,-82.9969,-77.4683,-88.1923,-95.8572,-90.7677,-84.9173,0.0,-1.0,27.421542575000025
82.8482,77.171,77.2151,82.9267,113.319,111.222,116.813,117.372,0.0,-1.0,27.376990399999997
79.247,73.5565,73.3391,79.0585,-73.0543,-76.9741,-73.4454,-67.6365,0.0,-1.0,26.506887419999995
82.6059,76.9427,76.9965,82.7003,96.2677,93.9394,99.3107,100.195,0.0,-1.0,26.30526971999996
83.9932,78.4721,78.9608,84.5114,-135.503,-132.804,-129.515,-129.607,1.5816355504348971,0.0018372270058747,26.12595559999999
82.5342,76.8374,76.8375,82.5347,-18.5208,-19.25,-14.9451,-13.6777,0.0,-1.0,26.05777850999998
-75.5674,-81.2543,-81.3466,-75.6232,73.7903,70.2315,75.8642,77.2177,1.7681184106321255,0.0004443845449631,26.026492664999942
-75.3474,-80.9041,-81.5389,-75.9554,51.6554,47.8772,51.5553,56.3627,0.0,-1.0,26.02130419000001
81.9514,76.1979,76.1223,81.383,39.0386,31.6341,36.2893,42.9604,0.0,-1.0,25.88336995000006
83.8981,78.8072,78.4795,84.5781,71.5573,60.8361,66.2333,76.0138,0.0,-1.0,25.75880680999996
83.0015,77.7414,77.4545,83.6758,-1.1148,-8.3017,-3.347,3.3138,0.0,-1.0,25.592205409999988
81.9278,76.2464,76.2913,82.0038,109.081,107.234,112.302,112.862,0.0,-1.0,25.133403700000013
-74.0011,-79.7638,-79.7616,-73.9997,-31.897,-32.8003,-28.2582,-27.7265,0.0,-1.0,25.101015990000015
83.1214,77.0618,77.6156,82.7177,89.5769,89.9434,94.3097,94.1618,0.0,-1.0,24.99695512
83.4633,78.3619,78.0833,84.1536,63.0102,52.2449,57.5071,67.4046,0.0,-1.0,24.843440865000108
-75.3759,-80.8479,-81.5241,-76.0141,-4.4853,-8.6047,-4.481,-0.5377,0.0,-1.0,24.80915737000001
-74.0272,-79.785,-79.7802,-74.0242,-23.1083,-23.9523,-19.5166,-18.9642,0.0,-1.0,24.693802330000004
82.7359,77.3735,77.1991,83.1562,47.9767,37.6142,42.6202,52.0836,0.0,-1.0,24.56957068500001
-74.3909,-79.9617,-80.5946,-74.9993,62.5934,59.1754,62.5416,67.0291,0.0,-1.0,24.232473184999982
82.1241,76.435,76.4376,82.1285,-26.1472,-26.8842,-22.76,-21.7711,0.0,-1.0,24.180333174999987
-73.6723,-79.4221,-79.4415,-73.685,-46.857,-48.1638,-43.4628,-43.2092,0.0,-1.0,24.028471569999983
82.0619,76.374,76.3748,82.0634,-31.4286,-32.1016,-28.0933,-27.0356,0.0,-1.0,23.89335221000001
82.5226,76.4144,77.0203,81.8753,171.604,167.341,171.596,176.009,0.0,-1.0,23.825124599999874
-79.0285,-85.1818,-84.4843,-79.6636,-136.369,-141.666,-136.999,-132.364,0.0,-1.0,23.63669280000004
-75.4416,-80.8971,-81.6075,-76.0759,-123.483,-129.228,-124.852,-120.532,0.0,-1.0,23.509221800000077
-74.7632,-80.2417,-80.9193,-75.4012,5.1021,1.0563,5.004,8.7383,0.0,-1.0,23.408153575000036
-74.1023,-79.6898,-80.2579,-74.6556,82.1653,78.7362,81.9671,86.429,0.0,-1.0,23.178010620000045
-75.0639,-80.7847,-80.7227,-75.0251,-116.809,-117.17,-113.628,-112.229,0.0,-1.0,23.140709200000007
81.0017,75.2819,75.2933,80.4837,28.182,23.0732,27.4227,31.8518,0.0,-1.0,23.08101674999999
-73.2873,-79.0256,-79.0598,-73.3098,-53.9092,-55.4583,-50.7255,-50.6713,0.0,-1.0,22.91517497999999
-74.5652,-80.0447,-80.7233,-75.2033,9.2603,5.1847,9.0721,12.7554,0.0,-1.0,22.85498809499996
-73.797,-79.3887,-79.9551,-74.3481,86.4575,83.1155,86.3124,90.6428,0.0,-1.0,22.81123753500001
-74.9271,-80.4088,-81.046,-75.5205,-172.969,-176.655,-172.965,-169.223,0.0,-1.0,22.747608999999983
-73.2763,-79.0045,-79.0564,-73.3105,-62.2394,-64.1734,-59.4224,-59.1053,0.0,-1.0,22.667061404999963
-76.5226,-82.6673,-82.2683,-77.1441,-94.6771,-101.458,-96.8228,-91.5206,0.0,-1.0,22.62309446999997
-75.0208,-80.482,-81.1827,-75.6504,-128.541,-133.861,-129.692,-125.621,0.0,-1.0,22.606442199999975
83.1879,77.6736,78.1694,83.7177,-139.183,-136.628,-133.6,-134.445,0.0,-1.0,22.34979789999998
-73.1568,-78.8805,-78.9392,-73.1956,-67.9625,-70.0234,-65.3494,-64.8675,0.0,-1.0,22.334344174999963
-73.1816,-78.9016,-78.9666,-73.2246,-72.5805,-74.7847,-70.1117,-69.4873,0.6808146329886373,0.0607966788046747,22.33041829999999
-73.4657,-79.0569,-79.6212,-74.0144,90.6693,87.4283,90.5748,94.7565,0.0,-1.0,22.316109425000015
-74.1191,-79.6032,-80.2858,-74.7607,15.6072,11.5987,15.3877,18.9501,0.0,-1.0,22.135474814999966
-73.1414,-78.7405,-79.3013,-73.685,95.9846,92.8725,95.9775,99.9863,0.0,-1.0,21.892201284999985
-75.2561,-80.9437,-80.862,-75.2051,-85.8899,-86.6652,-83.321,-81.5243,0.0,-1.0,21.78063042499999
-73.2685,-78.7676,-79.4588,-73.9199,22.3633,18.6961,22.3826,25.7103,0.0,-1.0,21.756781434999976
-75.1775,-80.865,-80.785,-75.1275,-81.6578,-82.4084,-79.0918,-77.3311,0.0,-1.0,21.59669237499995
-72.656,-78.167,-78.8606,-73.3114,26.9694,23.5754,27.1947,30.3517,0.0,-1.0,21.56909883000001
-72.9076,-78.5087,-79.0664,-73.4474,100.139,97.1337,100.198,104.068,0.0,-1.0,21.50279176999997
82.138,76.6101,77.0834,82.6359,-129.405,-127.263,-124.478,-124.653,1.5307392520954328,0.0001051115620503,21.44081130000004
83.4481,77.945,78.4464,83.9891,-144.146,-141.48,-138.441,-139.836,0.0,-1.0,21.352192649999893
79.2913,73.7216,73.9492,78.9199,13.8898,11.3419,15.6321,17.6363,0.0,-1.0,21.341156165
-71.8755,-77.642,-77.5815,-71.8336,69.4681,69.2287,72.568,73.5004,0.0,-1.0,21.189889679999958
-72.2109,-77.7302,-78.4171,-72.8592,31.6603,28.5065,31.9861,35.0772,0.0,-1.0,21.183025070000028
-71.4583,-77.2237,-77.2235,-71.4582,146.162,145.482,149.306,149.637,0.0,-1.0,21.04056900000002
83.7222,78.2286,78.736,84.2747,-147.927,-145.142,-142.062,-143.93,1.4493711517007075,0.0017498873119665,20.751825449999902
78.6774,73.1746,73.4998,78.3928,0.1577,-1.7819,2.4935,3.8792,0.0,-1.0,20.74979146000003
-71.811,-77.5674,-77.546,-71.7961,132.839,132.571,136.027,136.586,0.0,-1.0,20.712464700000027
-73.1562,-78.6498,-79.3117,-73.7667,-144.944,-148.499,-144.937,-141.781,0.0,-1.0,20.69341534999992
81.2953,75.7436,76.2044,81.7718,-105.171,-103.836,-101.059,-100.596,1.948888755229001,0.0012945670733488,20.641237199999996
-74.0465,-79.5118,-80.1548,-74.6467,173.332,169.905,173.327,176.639,0.0,-1.0,20.554483350000037
-73.4239,-78.9106,-79.5759,-74.0346,-141.111,-144.965,-141.362,-138.09,0.0,-1.0,20.53556199999999
-71.8998,-77.6548,-77.5889,-71.8543,103.48,103.159,106.391,107.408,0.0,-1.0,20.529120699999982
-74.7385,-80.8556,-80.4505,-75.3349,-176.467,-179.976,-176.446,-172.827,0.0,-1.0,20.475511350000055
-71.3185,-77.0771,-77.0787,-71.3194,160.249,159.576,163.308,163.615,0.0,-1.0,20.439126050000034
81.7897,76.2598,76.7219,82.2742,-124.748,-122.859,-120.175,-120.242,0.0,-1.0,20.383141899999973
-71.8992,-77.6507,-77.5864,-71.8548,106.695,106.381,109.58,110.586,0.0,-1.0,20.317923750000027
-71.9616,-77.7123,-77.6597,-71.9253,119.16,118.964,122.155,123.05,0.0,-1.0,20.307250800000013
-72.0056,-77.7549,-77.6929,-71.9629,110.947,110.651,113.844,114.841,1.0329300426876,0.0085443432623503,20.30460549999996
-73.7779,-79.2233,-79.8929,-74.3877,-137.343,-141.549,-137.893,-134.475,1.5686153113544898,7.804047213485596e-05,20.298964999999992
-78.1007,-83.6193,-83.0164,-77.5249,-28.8745,-26.583,-22.8428,-25.8059,1.2870895994780125,0.00302009944594,20.28979147499998
-71.7822,-77.3182,-77.9899,-72.4211,37.7025,34.7404,37.9555,41.0656,0.0,-1.0,20.251955170000016
-71.8386,-77.591,-77.5509,-71.8109,125.016,124.954,128.134,128.889,0.0,-1.0,20.25012614999997
-71.3856,-77.1388,-77.1376,-71.3845,165.717,165.105,168.748,169.083,0.0,-1.0,20.161369649999983
78.4176,72.6937,72.6847,78.4044,-165.629,-165.818,-162.726,-161.736,0.0,-1.0,19.989929949999997
78.4812,72.7595,72.7519,78.47,-168.96,-169.173,-166.061,-165.111,0.0,-1.0,19.91357805000002
84.1194,78.6444,79.1664,84.6954,-154.275,-151.374,-148.114,-150.897,1.5718625510544442,0.039060669441821,19.82139600000002
78.4259,72.706,72.7017,78.4196,-176.708,-176.975,-173.811,-172.978,0.0,-1.0,19.715963299999927
80.7502,75.1945,75.6505,81.2206,-100.514,-99.362,-96.6679,-96.1796,0.0,-1.0,19.703134245
-71.5703,-77.1134,-77.7737,-72.2002,41.3044,38.4457,41.5104,44.632,0.0,-1.0,19.69410630999998
78.5173,72.7998,72.7982,78.515,175.65,175.329,178.561,179.305,0.0,-1.0,19.688044400000017
81.488,75.9528,76.4053,81.9608,-117.915,-116.276,-113.653,-113.567,0.0,-1.0,19.687565150000033
-76.0439,-82.1849,-81.4873,-76.6626,-101.061,-106.93,-102.745,-98.0533,0.0,-1.0,19.509937790000095
78.3716,72.6631,72.6272,78.3185,-64.9766,-65.5759,-62.8906,-61.0056,0.0,-1.0,19.025397860000023
78.3738,72.6665,72.628,78.3166,-69.0411,-69.7406,-67.0621,-65.0805,1.8667636456167425,0.001599566215898,18.978775239999997
-71.2469,-76.7999,-77.4462,-71.8657,46.1099,43.3901,46.2538,49.3883,0.0,-1.0,18.947336320000026
78.437,72.7287,72.7293,78.4379,164.941,164.575,167.762,168.387,0.0,-1.0,18.931702800000025
-72.0687,-77.5719,-78.2131,-72.6668,-154.708,-157.605,-154.52,-151.597,0.0,-1.0,18.918856999999882
-75.7675,-81.9056,-81.2141,-76.3864,-104.216,-109.865,-105.827,-101.291,1.6854679918933035,0.0030101462000417,18.90385859999999
78.2478,72.5395,72.5076,78.2007,-59.903,-60.3698,-57.7123,-55.9866,0.0,-1.0,18.78121773999998
78.6546,72.9534,72.9524,78.6532,159.735,159.395,162.504,163.188,0.0,-1.0,18.705595399999872
81.1152,75.66,76.2159,81.727,85.7122,86.4267,90.1913,88.4868,0.0,-1.0,18.633873815000033
77.8764,72.1749,72.1326,77.8146,99.3178,98.5382,101.187,103.187,0.0,-1.0,18.621752339999983
79.1479,73.4615,73.4282,79.0969,-112.486,-113.152,-110.561,-108.539,0.0,-1.0,18.616560550000003
78.8767,73.1812,73.1791,78.8737,155.554,155.242,158.292,159.041,0.0,-1.0,18.6156237
-76.9986,-82.5074,-81.8652,-76.3822,-17.6014,-15.1013,-11.83,-14.7198,0.0,-1.0,18.603793590000027
78.2153,72.514,72.537,78.249,123.184,122.405,125.995,126.076,0.0,-1.0,18.483062149999988
78.9448,73.2526,73.2515,78.9431,150.067,149.734,152.786,153.501,0.0,-1.0,18.459565299999987
78.0476,72.3474,72.3774,78.0913,117.253,116.362,119.936,120.144,0.0,-1.0,18.42779005000008
77.3762,71.8592,71.1909,76.6885,-32.2218,-35.0617,-32.1952,-29.142,0.0,-1.0,18.371789895000006
78.0037,72.2962,72.274,77.9711,-53.2265,-53.3714,-50.7636,-49.4102,0.0,-1.0,18.336599425000006
80.84,75.3882,75.9543,81.4629,77.1058,77.9206,81.5939,79.8373,0.0,-1.0,18.31414113000004
77.8513,72.1546,72.1933,77.9075,104.663,103.636,107.179,107.541,0.0,-1.0,18.284393200000018
78.6357,72.941,72.9488,78.6473,136.261,135.746,139.034,139.391,0.0,-1.0,18.276160199999925
78.3695,72.6709,72.6833,78.3877,131.568,130.977,134.379,134.573,0.0,-1.0,18.258749999999935
77.9183,72.2098,72.2116,77.9209,-7.5719,-7.9641,-4.84,-4.3067,1.638638773926412,0.0005984205777181,18.236919335000003
78.8008,73.109,73.11,78.8022,145.544,145.171,148.252,148.871,0.0,-1.0,18.23657280000004
-70.641,-76.2006,-76.8436,-71.2581,49.5717,46.9846,49.6973,52.7597,1.6783061180180043,0.0199341329342939,18.22070662999997
-72.0474,-77.5437,-78.1982,-72.6429,-86.9881,-91.1542,-87.8421,-84.5637,0.0,-1.0,18.175782100000028
80.7449,75.2872,75.848,81.3591,81.5487,82.3404,85.9777,84.2579,0.0,-1.0,18.141125425000016
78.6655,72.973,72.977,78.6714,142.033,141.598,144.753,145.246,0.0,-1.0,18.125647999999977
-69.1265,-74.8894,-74.8896,-69.1266,-33.7834,-34.2684,-31.0193,-30.7466,0.5122514812516924,0.045494857089761,18.112720530000008
-69.2164,-74.9782,-74.9748,-69.214,-27.0889,-27.5156,-24.3154,-24.0088,0.0,-1.0,18.09028291000001
77.7482,72.0625,72.1014,77.8045,-80.8281,-81.8601,-78.3554,-77.9879,0.0,-1.0,18.03189118000003
-69.1106,-74.8693,-74.8767,-69.1159,-40.6365,-41.2435,-37.9229,-37.7193,0.0,-1.0,17.96665792999999
-69.0082,-74.7692,-74.7736,-69.0115,-37.2287,-37.7789,-34.5047,-34.275,0.0,-1.0,17.94267993000001
-70.2121,-75.7784,-76.4222,-70.8305,54.0007,51.4885,54.1319,57.155,0.0,-1.0,17.919348064999987
-76.6318,-82.1353,-81.4772,-76.0002,-14.0237,-11.3633,-8.3282,-11.2078,0.0,-1.0,17.84796087499998
-69.9318,-75.5023,-76.1469,-70.551,57.2632,54.795,57.4062,60.3961,0.0,-1.0,17.759716255000008
-70.6621,-76.3696,-76.4293,-70.7044,78.3994,76.6817,80.3007,80.9703,1.959875131234757,0.0005769514108978,17.752229339999985
-68.9825,-74.7379,-74.7485,-68.9903,-44.0313,-44.681,-41.3672,-41.1973,0.0,-1.0,17.69959768000001
79.5765,74.0177,74.467,80.0384,-94.0669,-93.0217,-90.541,-90.2651,0.0,-1.0,17.65661691499998
-71.7177,-77.2088,-77.8648,-72.3154,-93.5055,-97.5705,-94.384,-91.1542,0.6586341713933647,0.0494134247956711,17.571392914999997
-69.6714,-75.2449,-75.8883,-70.2897,60.5204,58.0994,60.6725,63.6266,0.0,-1.0,17.557867799999983
-69.1672,-74.9199,-74.9182,-69.166,-19.6052,-20.0575,-16.9185,-16.6409,0.0,-1.0,17.553934865000013
77.0636,71.3622,71.3959,77.1115,110.558,109.693,113.048,113.314,0.0,-1.0,17.419249349999973
75.9249,70.2109,70.2532,75.9838,-101.26,-102.145,-98.8671,-98.5255,0.0,-1.0,17.171345280000025
-68.8094,-74.5465,-74.5887,-68.8401,-120.198,-121.379,-117.934,-117.691,0.0,-1.0,17.116673999999993
79.7738,74.3105,74.8858,80.3974,72.1853,73.1403,76.5045,74.7528,0.0,-1.0,17.08621923999997
-69.727,-75.3109,-75.9007,-70.297,76.3508,73.9339,76.435,79.3975,0.0,-1.0,17.07639884999998
76.9154,71.2174,71.2523,76.9644,64.9399,64.0699,67.3458,67.6517,0.0,-1.0,17.05539944000001
77.5406,71.8427,71.8334,77.5273,-44.4125,-44.5565,-41.915,-41.0678,0.0,-1.0,17.053998570000015
80.3259,74.8224,75.3984,80.9289,19.2878,21.6891,24.3038,22.3659,0.0,-1.0,16.98256799999999
79.9741,74.4697,75.0548,80.586,16.1823,18.5615,21.1515,19.2875,0.0,-1.0,16.98226487999999
-68.5741,-74.3192,-74.3401,-68.5894,-50.9498,-51.7375,-48.4333,-48.37,0.0,-1.0,16.918023350000006
-68.5931,-74.3265,-74.3835,-68.6381,-90.5739,-91.9927,-88.6051,-88.0858,0.0,-1.0,16.910917839999968
75.6845,69.969,70.0084,75.7388,-108.638,-109.461,-106.243,-105.943,0.0,-1.0,16.893595400000045
-69.0781,-74.8189,-74.8209,-69.0796,-11.2036,-11.7017,-8.6339,-8.3997,0.0,-1.0,16.85550240499998
-68.6864,-74.4201,-74.4642,-68.7185,-117.064,-118.269,-114.879,-114.591,0.0,-1.0,16.854372199999997
-71.0424,-76.5453,-77.1682,-71.6271,-159.825,-162.424,-159.733,-157.011,0.0,-1.0,16.80571489999999
-69.2618,-74.8521,-75.434,-69.8242,81.9344,79.56,82.0291,84.922,0.0,-1.0,16.785739265
79.3972,73.9283,74.5058,80.0205,69.2492,70.2997,73.5758,71.7693,0.0,-1.0,16.773456980000013
-70.5423,-76.0287,-76.6974,-71.1819,-4.4809,-7.1939,-4.4246,-1.7919,0.0,-1.0,16.761362520000013
-68.5515,-74.2917,-74.3195,-68.572,-55.6021,-56.5078,-53.1513,-53.1281,0.0,-1.0,16.755975180000007
76.9319,71.2379,71.2694,76.976,59.8238,59.0089,62.2243,62.4838,0.0,-1.0,16.725465150000012
-69.0099,-74.6044,-75.1846,-69.5703,85.1599,82.8262,85.2811,88.1201,0.0,-1.0,16.649188624999987
-70.3375,-75.8292,-76.4963,-70.9754,-1.1858,-3.865,-1.1101,1.4805,0.0,-1.0,16.644649029999997
-66.9149,-72.6938,-72.6535,-66.8843,63.4853,63.3851,66.0719,66.5633,0.0,-1.0,16.632635609999966
