V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Ca/Si,Ca/Si_uncer,polygon_area
84.6006,78.9961,79.3954,84.9925,-111.753,-110.669,-106.64,-103.287,0.0,-1.0,34.54218980000002
84.7014,79.0572,79.3615,85.0318,31.3285,33.3012,37.6507,38.8707,0.0,-1.0,33.75659458500003
-75.8404,-81.6443,-81.7301,-75.9881,120.765,116.08,123.292,125.072,0.0,-1.0,33.62669989999997
-77.8539,-83.4752,-83.9398,-78.3141,64.4488,60.1822,64.5633,70.9179,0.0,-1.0,32.963671290000036
82.0364,76.3735,76.1677,81.8288,-42.0225,-46.952,-42.8398,-34.9983,0.0,-1.0,32.84703125000003
83.5541,77.8722,78.053,83.6975,97.7853,96.7531,100.788,105.489,0.0,-1.0,32.774343900000005
83.5688,77.8927,78.0768,83.7162,91.5032,90.4123,94.4124,99.1539,0.5420896376234575,0.0038096370267168,32.47529669999992
83.8647,78.2878,78.6655,84.3282,-130.308,-130.907,-124.204,-125.615,0.0,-1.0,32.192384000000025
-79.0328,-84.5435,-84.9178,-79.3155,94.4423,85.2072,92.2431,98.096,0.4888468439757255,0.0181236815872659,32.176585200000034
-78.5061,-84.1769,-84.0209,-78.7246,157.757,153.882,158.361,164.815,0.0,-1.0,31.79324879999991
83.2071,78.451,78.2003,83.646,71.6088,59.8192,67.4247,76.8322,0.0,-1.0,31.72214444999996
83.5319,78.4646,78.171,83.7518,132.504,123.216,130.387,136.883,0.0,-1.0,31.037208949999975
-78.9532,-84.4459,-84.8295,-79.2428,84.3995,74.9387,81.6268,87.9248,0.7726790863051036,0.0052208331269988,30.941792030000038
84.711,79.2589,79.7973,85.3466,42.6696,43.1673,49.7084,46.8308,0.0,-1.0,30.42572135499998
84.1097,78.4813,78.8373,84.5077,-158.176,-156.848,-151.703,-152.742,0.0,-1.0,30.328680800000008
-74.9259,-80.7075,-80.8121,-75.0864,174.712,170.061,176.385,178.667,0.0,-1.0,30.03036875
-79.004,-84.5111,-84.8826,-79.2921,60.6956,52.1351,58.7109,64.0901,0.0,-1.0,29.96025684999998
82.2274,77.3815,76.9054,82.5157,63.1682,51.4271,58.3105,67.1584,0.0,-1.0,29.390787630000027
-85.6993,-89.9024,-89.4993,-85.9682,172.607,-172.318,-136.574,163.19,0.530384496439093,0.0991088383934247,29.275254900001222
-76.8584,-82.5491,-82.4386,-77.3713,-143.447,-147.854,-144.19,-136.677,0.0,-1.0,29.26139500000002
83.0185,77.4022,77.8086,83.4239,-104.05,-103.152,-99.4997,-97.3472,0.0,-1.0,28.821484515000016
83.3862,77.7068,77.8578,83.5561,-175.8,-175.706,-170.978,-170.401,0.0,-1.0,28.76674329999996
82.824,77.2033,77.6005,83.2163,-98.0238,-97.4344,-93.8136,-91.4555,0.0,-1.0,28.273358375000004
-78.2538,-83.7458,-84.2355,-78.6667,-65.032,-72.3881,-66.523,-61.7537,0.0,-1.0,28.019426189999997
83.1015,77.4892,77.765,83.4394,-64.3494,-65.1724,-59.3822,-60.2182,0.0,-1.0,27.996960870000024
-75.0497,-80.8467,-80.8621,-75.147,-128.043,-130.659,-124.833,-124.386,0.0,-1.0,27.378611099999986
-77.8764,-83.522,-83.6442,-78.0361,-81.1314,-84.3947,-80.5119,-75.5138,0.4669410516764568,0.0134911402385469,27.31088503499997
