V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Mg/Si,Mg/Si_uncer,polygon_area
89.1812,84.3947,84.6445,89.899,-52.1201,-78.0082,-38.5646,19.1983,0.0,-1.0,257.80513360000054
-83.5958,-88.9597,-89.5598,-83.931,-6.8963,-45.1028,-3.6138,9.2576,0.0,-1.0,170.356066675
-82.7414,-87.9666,-88.7223,-83.0008,43.5261,0.0374,33.2441,53.0111,0.0,-1.0,132.88602336500014
89.5744,84.7968,85.1323,89.8413,-81.1448,-116.977,-108.009,-27.819,0.0,-1.0,130.26614744999986
-84.4297,-89.0291,-89.0086,-84.7367,-32.6801,-132.202,-88.4277,-23.064,0.0,-1.0,130.2204949800002
-84.5038,-89.0346,-88.8906,-84.8364,161.46,77.4888,123.301,171.723,0.0,-1.0,126.5937373800004
-83.3336,-89.0641,-88.6863,-83.4582,-165.908,-178.316,-159.62,-148.376,0.0,-1.0,97.7548685999999
88.1092,82.434,82.6224,88.2737,134.236,135.74,143.067,155.696,1.2792662943354471,0.0001823477905123,80.53248575000008
-82.6678,-88.2941,-88.5216,-83.079,72.5425,60.7499,68.7665,91.0184,0.0,-1.0,78.74676385000006
-83.1404,-88.7491,-88.4585,-83.4104,-17.038,-60.1872,-39.5901,-8.929,0.0,-1.0,76.09866857499998
87.1283,81.5882,81.2794,86.5038,-118.785,-138.216,-131.111,-102.146,0.0,-1.0,75.19006870000005
88.9685,83.0128,83.4527,88.3451,114.257,92.739,108.98,124.961,0.8872608886963068,0.0045976645216139,74.79578025000018
-80.5647,-86.3271,-86.5245,-80.7322,64.8912,51.2912,69.4553,71.9229,0.0,-1.0,74.24824437499998
88.0207,82.3461,82.4245,88.0324,-144.072,-143.058,-137.342,-123.849,0.0,-1.0,72.8831024
88.4579,85.8698,85.3518,88.4637,62.392,-28.8692,-17.4762,83.7152,0.0,-1.0,71.26414042999966
-81.7368,-87.506,-87.0986,-81.5845,-112.15,-115.567,-105.905,-96.2151,0.0,-1.0,70.37039245999998
86.8756,81.4585,81.108,86.1796,75.7967,53.5448,60.4869,90.4688,0.0,-1.0,70.34188281000007
-81.4567,-87.0533,-87.4124,-81.7829,169.562,162.128,172.572,179.275,1.815291291672196,0.0001350114511141,58.99314595000009
87.3048,81.6428,81.8288,87.5264,158.692,158.44,166.59,171.035,1.8893385123404949,0.0031514149895475,57.71944639999998
87.9871,82.5301,82.8972,87.7273,100.365,79.0255,91.9895,109.815,0.0,-1.0,56.59316372500007
-79.52,-85.1215,-85.4472,-79.7601,141.531,126.882,139.539,147.497,0.0,-1.0,55.75465959999997
-81.6781,-87.2729,-86.7621,-81.4681,-134.879,-141.921,-133.499,-121.589,0.0,-1.0,55.689256
88.2807,82.9433,83.3547,88.9255,122.429,119.062,132.833,129.021,0.0,-1.0,55.648421400000004
-81.8102,-87.4111,-87.6057,-82.1229,119.171,110.114,116.234,131.458,0.0,-1.0,54.08385429999999
-81.5409,-86.9881,-87.4243,-81.8141,112.26,94.7451,107.665,117.171,0.0,-1.0,54.08300503000012
89.7748,86.1957,86.4318,89.8103,92.1056,-49.3317,-37.3322,122.586,0.0,-1.0,53.42749961000058
-81.0095,-86.4104,-87.0996,-81.5485,-139.658,-154.803,-144.52,-134.509,0.0,-1.0,49.976965799999924
87.2433,81.2023,81.7575,86.6057,58.3003,46.3051,56.1376,66.0992,0.0,-1.0,48.45027030000009
-80.5435,-86.1705,-86.4784,-80.9226,89.6307,82.0066,87.7693,99.6795,0.0,-1.0,47.559226574999975
-79.6542,-85.2548,-85.6634,-80.0211,154.192,148.61,156.561,161.438,0.0,-1.0,44.74232644999988
-85.7544,-89.0258,-89.0253,-85.3805,-69.9526,-161.93,-146.046,-50.1695,0.0,-1.0,44.08707421499969
-81.0372,-86.6725,-86.7284,-81.1995,-97.0129,-103.244,-97.71,-87.2774,1.0,0.0139285176117977,43.52694280999998
-77.653,-83.3755,-83.5765,-77.8546,19.8198,11.0948,20.4401,24.8519,0.0,-1.0,42.45739805999993
-81.9488,-87.9889,-87.3505,-82.5136,-122.919,-136.799,-126.439,-117.622,0.0,-1.0,42.157672449999936
-78.6108,-84.4055,-84.4231,-78.7012,-88.0456,-92.6441,-83.154,-82.9839,0.0,-1.0,42.02556717
86.3231,80.9039,81.2536,86.858,-92.171,-96.7959,-87.1733,-86.355,0.0,-1.0,41.343474060000005
89.5364,85.0263,85.3229,89.8356,135.653,19.3913,37.6832,150.78,0.8812310579648669,0.0065742366814224,41.22006415500009
85.3803,79.6952,79.901,85.613,145.582,146.114,152.149,153.746,0.0,-1.0,40.34010510000007
-78.1497,-83.9431,-83.9765,-78.2518,-115.562,-120.215,-111.124,-110.835,0.0,-1.0,39.956686700000056
-78.4684,-84.1677,-84.3065,-78.6167,-51.9523,-60.1378,-51.041,-47.3491,0.0,-1.0,39.86016788499999
-80.4541,-86.0997,-86.1563,-80.5947,-68.3022,-73.305,-68.1437,-59.6599,0.0,-1.0,39.33981586000006
