V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Al/Si_uncer,polygon_area
84.7014,79.0572,79.3615,85.0318,31.3285,33.3012,37.6507,38.8707,0.0,-1.0,33.75659458500003
84.8793,79.3839,79.7415,85.3635,-102.605,-105.23,-97.8375,-97.6667,0.0,-1.0,33.68323287
-75.8404,-81.6443,-81.7301,-75.9881,120.765,116.08,123.292,125.072,0.0,-1.0,33.62669989999997
80.9411,75.2268,74.9936,80.7218,-123.426,-127.867,-123.67,-116.586,0.0,-1.0,32.87648375000005
83.5721,78.579,78.3023,83.8541,119.991,109.874,117.32,124.701,0.0,-1.0,32.02276624999999
-75.8813,-81.6188,-81.76,-76.0557,2.7124,-3.3523,3.4968,6.7907,0.0,-1.0,31.99567487000004
-78.5061,-84.1769,-84.0209,-78.7246,157.757,153.882,158.361,164.815,0.0,-1.0,31.79324879999991
85.336,79.7365,80.0591,85.7042,6.2159,7.6813,12.7003,12.3927,0.0,-1.0,31.779270269999973
80.5628,74.8364,74.6389,80.401,39.5231,36.2578,40.3341,46.1525,0.0,-1.0,31.564051964999948
83.2866,77.608,77.793,83.4385,93.3409,92.4073,96.3238,100.679,0.0,-1.0,31.416604784999993
-78.9532,-84.4459,-84.8295,-79.2428,84.3995,74.9387,81.6268,87.9248,0.0,-1.0,30.941792030000038
83.2134,77.5315,77.7061,83.3594,108.645,108.011,111.872,115.803,0.0,-1.0,30.859757449999965
84.711,79.2589,79.7973,85.3466,42.6696,43.1673,49.7084,46.8308,0.0,-1.0,30.42572135499998
-78.5559,-84.202,-84.3319,-78.7301,-95.7746,-99.4887,-95.2814,-89.5141,0.0,-1.0,30.156015340000046
83.2064,77.5138,77.7167,83.4238,137.324,138.258,142.569,143.587,0.0,-1.0,30.12628064999986
-78.2404,-83.8501,-84.1139,-78.4607,127.711,122.783,129.455,131.367,0.0,-1.0,29.908618800000035
-78.4734,-83.9925,-84.4622,-78.873,-56.5599,-63.3521,-56.9897,-53.0124,1.628366554607968,0.0145945239186391,29.86101712999999
82.9316,78.0759,77.7415,83.2523,105.259,94.4676,101.428,109.639,0.0,-1.0,29.455147369999978
83.6413,78.0885,78.4459,84.0873,-116.923,-118.166,-111.972,-112.554,0.0,-1.0,29.428321800000035
83.5641,78.0196,78.3754,84.0115,-111.898,-113.355,-107.253,-107.576,0.0,-1.0,28.90893640000001
-77.2243,-82.8112,-83.1894,-77.5628,-14.6165,-18.4212,-12.9449,-10.2598,1.280505578448194,0.0062838225358728,28.728396290000028
83.2353,77.5578,77.7394,83.4405,-7.3879,-7.3221,-2.3744,-2.3405,0.0,-1.0,28.435645944999976
-77.4068,-83.0689,-83.2346,-77.5604,-10.113,-12.2364,-7.2221,-5.2296,0.0,-1.0,28.379375844999984
-78.8057,-84.3232,-84.6748,-79.0844,54.7633,47.1198,53.3111,57.9851,0.0,-1.0,28.080873435000036
-75.7381,-81.4682,-81.5599,-75.874,-37.1216,-42.0318,-35.9844,-33.4952,0.0,-1.0,28.030051059999984
-74.8951,-80.6901,-80.7286,-75.009,-142.074,-145.214,-139.334,-138.37,0.0,-1.0,27.745344000000014
82.8002,77.1703,77.4341,83.1169,-59.2922,-59.7964,-54.1642,-55.234,0.0,-1.0,27.488229720000007
-75.0497,-80.8467,-80.8621,-75.147,-128.043,-130.659,-124.833,-124.386,0.0,-1.0,27.378611099999986
