V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Ca/Si,Ca/Si_uncer,polygon_area
-85.1857,-89.4793,-89.4679,-85.3564,63.7577,-63.9853,6.7244,73.967,0.0,-1.0,177.79837324500016
89.1854,83.6765,84.0467,88.9418,-61.0754,-81.4527,-74.5827,-10.4646,0.0,-1.0,146.83328139000002
-84.2569,-89.5155,-89.0862,-83.637,-146.228,-172.999,-132.499,-139.304,0.0,-1.0,121.7145950000001
88.9889,83.3628,83.2654,88.4753,132.736,112.327,119.159,161.489,0.0,-1.0,105.98314725000002
88.9753,83.3345,83.2512,88.5236,-94.0273,-111.301,-104.87,-64.9793,0.0,-1.0,104.44309420000019
-82.7233,-88.0203,-88.5291,-82.8443,-110.984,-145.341,-119.248,-103.757,0.0,-1.0,99.32696160000008
-84.002,-89.1762,-89.4395,-83.8689,-82.4137,-94.7377,-84.6531,-58.7713,0.0,-1.0,91.84106619000005
89.048,83.8944,83.3514,88.8169,62.6569,26.8151,48.3599,69.2273,0.0,-1.0,85.61417801000007
88.6405,83.4385,83.5364,89.2355,-128.143,-145.399,-123.053,-118.42,0.0,-1.0,83.60512195000004
-82.7209,-88.3224,-88.5185,-83.1809,108.431,93.4799,101.808,127.765,0.0,-1.0,82.35957063000004
88.0712,82.3593,82.3393,87.9935,-165.77,-167.886,-159.103,-146.163,0.0,-1.0,81.03863755000005
87.7206,82.0542,81.9588,87.4069,108.87,99.5765,105.45,126.96,0.0,-1.0,69.7360081500001
86.1329,80.43,80.1974,85.771,-150.315,-159.3,-152.955,-135.476,0.0,-1.0,63.653556000000066
87.3527,83.167,82.7249,87.7721,-31.6474,-66.3981,-58.675,-13.5363,0.0,-1.0,60.084518639999914
-81.1162,-86.818,-86.8672,-81.1339,-170.286,-177.508,-164.218,-162.8,0.8200021386082239,2.6586591603811417e-05,59.53841339999996
-81.0343,-86.7691,-86.7625,-81.0317,164.251,159.258,170.738,173.189,0.0,-1.0,58.50903399999993
-81.5936,-87.3364,-87.0659,-81.503,75.3745,73.1849,80.7268,88.2552,0.0,-1.0,56.84565475500003
-81.3021,-87.0663,-86.846,-81.2245,65.7795,64.5487,72.0871,78.2753,0.0,-1.0,56.47331771000007
-81.5521,-87.2979,-87.0859,-81.4815,123.112,121.895,129.212,135.796,0.0,-1.0,56.20269689999997
-82.0453,-87.4656,-86.8537,-81.3964,-100.004,-108.693,-93.3402,-95.0652,0.0,-1.0,52.98592424000004
87.044,81.3705,81.3745,87.0558,-27.4528,-30.123,-21.981,-17.7427,0.0,-1.0,50.649467694999984
85.8893,80.4421,79.8379,86.522,-32.044,-48.4665,-37.2691,-27.066,0.0,-1.0,48.86745010499999
-79.8638,-85.4239,-86.027,-80.4476,56.402,49.599,55.3852,65.3322,0.0,-1.0,45.95347820000002
86.8206,81.3062,81.3946,87.0677,72.5055,64.6175,75.1741,78.635,0.0,-1.0,45.71704695
86.2655,80.57,80.5675,86.2597,-14.956,-16.6886,-9.8034,-5.8701,0.0,-1.0,45.48028061000005
86.3843,81.0455,80.6331,87.0257,29.3489,12.0355,23.1511,33.9281,0.0,-1.0,44.42231877999998
89.8194,86.5127,87.0897,89.8251,157.391,-14.3205,-1.1145,146.268,0.0,-1.0,43.337594875000164
86.5936,81.0093,81.0731,86.7624,56.318,50.3716,60.1433,62.0716,0.0,-1.0,43.298591715
88.2226,82.5273,82.5181,88.1846,175.985,-178.305,-169.521,179.33,0.0,-1.0,42.748881849998355
-78.7368,-84.4831,-84.5065,-78.7482,-43.1782,-46.4207,-38.0782,-37.1867,0.7692764501965688,0.0007967343745765,41.26269989999996
-82.8952,-88.4273,-87.7962,-82.3416,-30.1204,-29.2136,-20.0,-24.9852,0.0,-1.0,41.15655334000001
85.3754,79.754,79.8309,85.5472,-112.07,-116.723,-108.282,-106.551,0.0,-1.0,39.17164779999998
-78.6966,-84.4364,-84.4397,-78.6982,-15.4273,-17.9379,-10.4821,-9.3362,0.0,-1.0,38.88848495500001
88.3623,82.993,83.5998,89.1201,-7.7311,-1.6099,4.1829,-0.8136,0.0,-1.0,38.39532407499999
-78.1708,-83.8941,-83.9526,-78.2009,-53.9491,-57.8074,-49.4252,-49.245,0.0,-1.0,37.63077590000002
-78.1394,-83.8268,-83.9463,-78.2009,-116.671,-122.344,-113.776,-112.245,1.1271096946718355,0.0012294446124626,37.4654318
-83.1172,-88.6539,-87.9976,-82.5666,-40.3052,-37.227,-29.8365,-34.9497,0.0,-1.0,37.420126214999996
84.7815,79.117,79.1795,84.9118,-119.425,-122.925,-115.118,-114.133,0.4445275895500192,9.9590716430742e-05,37.105493799999955
-78.1032,-83.8052,-83.8977,-78.1512,-63.7445,-68.5764,-60.1278,-59.3491,0.5143455829748186,3.240492198645007e-05,36.958205825000014
84.5449,79.0073,78.3905,83.8784,153.264,147.159,153.258,159.166,0.0,-1.0,36.933327099999985
83.9252,78.1802,78.1283,83.8243,118.632,117.514,121.808,126.945,0.0,-1.0,36.29811275000003
-78.0079,-83.6938,-83.8088,-78.068,-74.3002,-79.7397,-71.5045,-69.9716,0.2644429742078082,0.0001820950033088,36.19591017500003
87.8646,83.498,84.1636,87.7301,49.6091,-17.2798,0.5921,58.1321,0.0,-1.0,35.82729810000007
-80.0414,-86.1839,-85.4892,-80.6708,-2.3062,-8.8934,-2.3425,4.2082,0.0,-1.0,35.587385475000005
-78.1747,-83.7725,-84.2956,-78.6988,94.4347,89.0058,93.5637,101.354,0.0,-1.0,35.58145233999995
-77.6903,-83.1718,-83.8818,-78.3421,24.5086,18.4479,24.4714,29.8391,0.0,-1.0,35.174474980000014
84.6738,78.9722,78.9742,84.6776,165.025,163.798,169.509,171.589,0.0,-1.0,34.994298599999944
-78.1094,-83.5689,-84.2741,-78.7343,-143.405,-150.329,-144.145,-138.417,0.3110140516344382,0.0293861451488112,34.92815120000006
83.814,78.0993,78.1481,83.9073,-66.3225,-68.7307,-61.6667,-61.2702,0.0,-1.0,34.655666675
-82.1983,-87.7253,-87.078,-81.6191,-23.0398,-20.5593,-13.5944,-18.2912,0.0,-1.0,34.37157452500001
85.2771,80.2435,79.7921,85.9466,84.7846,67.518,75.6072,89.3779,0.0,-1.0,33.78096077999998
-77.6926,-83.2958,-83.8192,-78.2122,102.534,97.5627,101.952,109.032,0.0,-1.0,33.65457908999993
-76.9953,-82.5007,-83.1974,-77.6396,31.6991,26.5905,32.0882,37.0499,0.0,-1.0,33.38084937500001
89.5042,86.7027,86.9177,89.5106,70.2232,-65.7672,-50.2216,90.7366,0.0,-1.0,33.300062389999866
-77.2974,-82.7848,-83.4592,-77.9102,-151.704,-156.85,-151.382,-146.421,0.0,-1.0,32.91551670000001
-79.7492,-85.8974,-85.2014,-80.3816,3.9044,-2.2093,3.6953,9.5897,0.0,-1.0,31.58857701000003
