V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Al/Si_uncer,polygon_area
-83.5011,-89.1963,-89.0321,-83.4788,10.1407,-7.6743,19.2326,29.1473,0.0,-1.0,127.82160392500005
-84.7182,-89.5273,-89.7003,-84.6069,-61.106,-111.885,-100.424,-24.0719,0.0,-1.0,122.01667915500009
-82.9922,-88.192,-88.7884,-83.1214,-99.6488,-140.236,-112.152,-92.0427,0.0,-1.0,107.96963976999993
88.9507,83.3095,83.2323,88.5304,-99.6623,-114.814,-108.485,-70.3921,0.0,-1.0,103.97987926500005
-83.8385,-89.293,-88.6332,-83.2028,-147.653,-167.586,-134.838,-141.318,0.0,-1.0,101.99654630000013
-86.2478,-89.4927,-89.5029,-86.0135,178.035,-151.759,-174.377,167.554,0.0,-1.0,93.35804205000134
89.0804,84.8377,84.3284,89.5864,68.6712,7.2499,38.0656,76.9521,0.0,-1.0,92.94402083999987
88.4331,82.7676,82.7667,88.4289,158.591,154.22,165.394,176.88,0.0,-1.0,83.45722394999993
-82.516,-87.9284,-88.2651,-82.6023,100.108,73.8932,95.9298,106.237,0.0,-1.0,81.84711477999997
88.4602,83.0854,83.1708,88.9013,-131.15,-144.587,-124.601,-121.892,0.0,-1.0,79.06563105000001
-82.5354,-88.1405,-88.3815,-82.997,110.533,96.6279,104.717,128.733,0.0,-1.0,78.88751455500012
-82.6242,-87.4721,-88.142,-82.057,161.022,147.607,160.859,172.97,0.0,-1.0,69.53265004999997
88.2288,82.6158,82.6413,88.3372,129.217,122.59,136.21,140.137,0.0,-1.0,69.02680635000004
88.5483,82.2515,82.9344,88.2885,-15.2536,-44.6602,-27.2616,-7.5809,0.0,-1.0,67.83359313499999
-81.2729,-86.7864,-87.4486,-81.8771,42.4124,31.8181,41.8418,54.1427,0.0,-1.0,67.53439281999991
87.717,82.0524,82.0697,87.7783,8.2371,3.5998,14.9565,19.5232,0.0,-1.0,64.19941464
87.3527,83.167,82.7249,87.7721,-31.6474,-66.3981,-58.675,-13.5363,0.0,-1.0,60.084518639999914
-80.8882,-86.6283,-86.6405,-80.8927,148.701,143.044,155.277,157.327,0.0,-1.0,59.938703249999946
-81.182,-86.9358,-86.876,-81.1608,134.884,131.485,141.843,145.35,0.0,-1.0,59.56776749999999
89.6604,85.9118,86.0453,89.6334,41.0017,-107.166,-86.0128,55.8316,0.0,-1.0,58.27773028000017
88.7474,83.3447,83.8525,89.3935,-152.834,-147.395,-141.748,-137.5,0.0,-1.0,57.74601615000003
-81.585,-87.3322,-87.1261,-81.517,123.839,122.777,130.135,136.653,0.0,-1.0,56.75040139999996
-81.3265,-87.089,-86.8636,-81.2474,67.0637,65.7401,73.2742,79.585,0.0,-1.0,56.46992629500005
87.5469,82.0225,82.0952,87.7931,108.157,99.5249,112.545,115.057,0.0,-1.0,54.99887118499993
-80.2449,-85.7241,-86.3741,-80.8309,-162.798,-170.811,-163.229,-154.517,0.0,-1.0,48.88010779999998
87.4156,82.6265,81.9992,88.1463,-12.8098,-21.8723,-13.2758,-3.7468,0.0,-1.0,47.80136569999995
87.5024,81.9872,81.3879,86.8131,174.949,164.798,174.946,179.94,0.0,-1.0,46.28564064999989
86.8206,81.3062,81.3946,87.0677,72.5055,64.6175,75.1741,78.635,0.0,-1.0,45.71704695
-87.1212,-89.6095,-89.9074,-86.7795,168.22,-95.2521,-131.914,177.573,0.0,-1.0,44.616963190000604
89.7061,86.8017,86.8382,89.7023,163.271,-175.084,-156.831,179.426,0.0,-1.0,44.105683900001594
89.6881,85.6653,85.52,89.6469,179.138,-154.025,-177.107,165.239,0.0,-1.0,43.85040679999856
86.644,81.058,81.1193,86.8081,54.331,48.4099,58.2335,60.0801,0.0,-1.0,43.45705959500003
88.2226,82.5273,82.5181,88.1846,175.985,-178.305,-169.521,179.33,0.0,-1.0,42.748881849998355
-78.9527,-84.7093,-84.6989,-78.9477,-26.9776,-29.3366,-21.6126,-20.143,0.0,-1.0,41.86962416000001
-79.6251,-85.2682,-85.3907,-79.6802,56.739,49.3194,59.283,61.2624,0.0,-1.0,41.53721639999995
-80.342,-86.4834,-85.8054,-80.7406,-119.964,-126.489,-115.942,-115.587,0.0,-1.0,41.329764200000064
-78.7288,-84.4768,-84.4974,-78.7389,-42.0067,-45.1627,-36.8876,-35.9546,0.0,-1.0,41.24536477499997
-78.748,-84.5053,-84.5032,-78.747,-33.7221,-36.2136,-28.4555,-27.1721,0.0,-1.0,41.181151790000015
89.6318,86.7222,86.9065,89.6276,84.1652,-57.6435,-41.386,105.745,0.0,-1.0,40.25311128500033
-78.3663,-84.1018,-84.1416,-78.3864,-49.0462,-52.4926,-44.285,-43.7564,0.0,-1.0,38.833169170000026
-78.2333,-83.9086,-84.0512,-78.3064,-89.2283,-95.6487,-86.9071,-84.7099,0.0,-1.0,38.32233558
85.2032,79.7326,79.2437,85.7034,21.8748,10.1588,18.717,26.1198,0.0,-1.0,38.13249362999994
