V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Al/Si_uncer,polygon_area
-76.2762,-81.7652,-82.3676,-76.853,-174.634,-179.124,-174.614,-170.757,0.0,-1.0,25.5324938999999
-78.2016,-83.86,-83.547,-77.9216,0.0314,0.4845,5.2094,4.1935,0.0,-1.0,25.2875619
82.3798,76.7271,77.227,82.6534,110.289,100.301,106.916,113.92,0.0,-1.0,25.09328664999996
82.3425,76.675,77.1755,82.597,115.419,105.741,112.27,118.972,0.0,-1.0,24.858099499999994
80.9602,75.3092,74.8636,80.4507,62.8878,59.9949,63.2078,67.8639,0.0,-1.0,24.809712699999977
-77.5254,-83.0907,-82.5845,-77.0396,-134.715,-134.864,-129.319,-131.531,0.0,-1.0,24.756857950000054
-75.9764,-81.6845,-81.6692,-75.9671,-149.139,-149.786,-145.529,-144.723,0.0,-1.0,24.731230200000013
-79.2962,-84.8087,-84.2183,-78.7495,-56.0032,-54.8468,-49.6186,-52.7215,0.0,-1.0,24.573253725000015
-78.7857,-84.3659,-83.9362,-78.4172,-117.733,-116.581,-113.039,-112.476,0.0,-1.0,24.53300015000001
-75.5039,-81.0138,-81.6848,-76.1671,109.434,104.967,108.074,113.907,0.0,-1.0,24.33286699999997
-75.1544,-80.6614,-81.3509,-75.8387,99.9175,95.3841,98.4561,104.299,0.0,-1.0,24.096642035000016
80.2275,74.5482,74.2249,79.8775,10.4903,8.3231,12.3466,14.6035,0.0,-1.0,23.79575431500001
-78.3549,-83.9797,-83.6213,-78.0334,-145.044,-143.432,-139.806,-140.353,0.0,-1.0,23.680982499999935
82.7333,77.2313,76.6726,82.1559,126.674,121.895,126.146,130.121,0.0,-1.0,23.627564700000015
82.8126,77.3059,76.7507,82.2417,122.912,117.866,122.242,126.185,0.0,-1.0,23.56098005000004
-77.2929,-82.8585,-82.3532,-76.8107,-139.454,-139.225,-134.062,-136.373,0.0,-1.0,23.520856600000016
82.8955,77.3837,76.8335,82.3315,119.197,113.914,118.407,122.317,0.0,-1.0,23.515111999999952
-75.7077,-81.1899,-81.8175,-76.3218,131.121,127.246,130.656,135.185,0.0,-1.0,23.121017849999987
-79.335,-84.8957,-84.3578,-78.8515,-162.634,-159.958,-156.239,-158.549,0.0,-1.0,22.864892099999942
82.32,76.8326,76.2729,81.7384,134.169,130.062,133.918,137.784,0.0,-1.0,22.732175199999872
-79.0829,-84.5914,-83.9814,-78.5223,-52.1488,-50.3311,-45.809,-48.939,0.0,-1.0,22.648041014999983
81.8315,76.1149,76.6105,82.0047,131.384,123.834,129.597,134.511,0.0,-1.0,22.609772200000073
-77.6102,-83.1246,-82.5017,-77.0486,47.879,50.6289,53.7421,52.3796,0.0,-1.0,22.09387232500003
81.5517,75.8935,76.4387,81.739,170.645,164.023,169.675,173.764,0.0,-1.0,22.067799000000036
79.3591,73.6799,73.3596,79.012,6.4622,4.5593,8.2149,10.3531,0.0,-1.0,22.052737384999986
-75.2191,-80.7922,-80.205,-74.6151,-100.065,-100.0,-95.3389,-97.068,0.0,-1.0,21.906125555000003
-77.7252,-83.2533,-82.6488,-77.1782,41.8487,44.5532,47.7333,46.1111,0.0,-1.0,21.710004949999977
79.3804,73.7798,73.2756,78.8379,-2.7726,-5.3984,-1.9171,0.9975,0.0,-1.0,21.686447434999994
-75.4523,-80.938,-81.5555,-76.0604,126.601,122.932,125.893,130.554,0.0,-1.0,21.532624800000008
-75.0565,-80.6397,-80.0421,-74.4846,-91.21,-91.1192,-86.5537,-88.2624,0.0,-1.0,21.451427104999997
-74.9203,-80.491,-79.8979,-74.3193,-95.5612,-95.4089,-90.9134,-92.6349,0.0,-1.0,21.24634483000003
-78.7917,-84.365,-83.926,-78.3855,-21.1713,-19.7294,-15.6852,-17.8531,0.0,-1.0,21.21881101999999
81.456,75.7831,76.307,81.6199,159.53,153.488,158.845,162.471,0.0,-1.0,21.12762950000001
81.6403,76.1959,76.8548,82.0132,86.784,77.7483,83.9074,90.0514,0.0,-1.0,21.07121993499996
-75.7572,-80.556,-81.303,-75.0771,92.2713,87.7867,91.0632,96.5665,0.0,-1.0,21.03597787500002
-74.8615,-80.4414,-79.8402,-74.2859,-87.7483,-87.5473,-83.1169,-84.8599,0.0,-1.0,20.94417054000002
-77.6093,-83.1548,-82.5671,-77.0719,34.5089,37.1006,40.3545,38.3365,0.0,-1.0,20.842772629999995
78.6699,72.9901,72.6748,78.3284,2.2516,0.4964,3.9446,5.9344,0.0,-1.0,20.819547849999985
79.7973,74.2274,73.7238,79.2591,23.4938,20.8182,24.1456,27.1292,0.0,-1.0,20.804760280000032
79.6913,73.9896,74.0023,79.7112,18.0666,17.2902,21.1718,21.4796,0.0,-1.0,20.800104460000007
80.4471,74.8959,74.3341,79.9237,75.1433,70.5987,74.4627,77.9375,0.0,-1.0,20.720081860000022
-77.3553,-82.9866,-82.6858,-77.0816,25.0147,25.5422,29.4505,28.3866,0.0,-1.0,20.677736600000003
