V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Mg/Si,Mg/Si_uncer,polygon_area
-79.9269,-85.5729,-85.2569,-79.633,-164.92,-165.492,-158.778,-160.477,0.0,-1.0,31.606407899999972
-78.0974,-83.5763,-84.1698,-78.6483,-17.3599,-22.3943,-17.4061,-12.0217,0.0,-1.0,31.379451320000015
83.2163,77.6305,77.1144,82.6546,-175.159,-179.266,-174.217,-169.765,1.096273505727813,0.0041870901213619,31.353427049999965
83.0187,77.3548,76.9408,82.5355,46.6886,43.5177,47.523,53.0808,0.0,-1.0,31.223170785000022
-77.8603,-83.3384,-83.9576,-78.4368,-27.053,-32.1044,-27.1867,-21.7828,0.3815215248800455,0.0001301341443104,31.13927388000002
-79.7714,-85.2899,-84.7597,-79.2638,-69.8967,-71.1795,-63.7715,-66.3851,0.0,-1.0,30.413486619999986
-80.1252,-85.7708,-85.4241,-79.8307,15.4295,16.6177,21.5928,20.9793,0.0,-1.0,29.861150284999976
80.5265,74.6948,74.9896,80.7654,54.5426,50.0722,56.0869,59.0377,1.0,0.0853602541530564,29.507952265000007
81.9769,76.2847,75.9514,81.61,-171.49,-173.917,-169.282,-166.132,0.0,-1.0,29.333389949999958
81.8503,76.1039,76.1108,81.8618,-152.379,-153.167,-148.193,-147.164,0.0,-1.0,29.278393950000012
-80.1359,-85.6981,-85.2196,-79.7474,-111.089,-110.128,-106.083,-104.642,0.0,-1.0,28.839191199999988
86.1695,80.6909,81.2298,86.7476,165.146,169.008,173.112,170.914,1.367125700003503,0.0002643987134157,28.831370199999995
81.914,76.2305,75.895,81.5485,17.679,14.8953,19.7869,22.5327,0.0,-1.0,28.58966140000001
83.6488,78.1398,78.7471,84.2641,-73.0631,-70.8581,-67.342,-66.3549,0.372821779241063,0.0046754613725369,28.555534084999998
-76.671,-82.1351,-82.8089,-77.3079,152.272,147.049,151.909,156.455,0.0,-1.0,27.99040689999996
83.6654,78.1604,78.7583,84.2667,-78.8591,-77.0412,-73.5897,-72.2297,0.8231902529779901,0.0022028172404946,27.89352443500005
-76.4234,-81.8904,-82.5614,-77.0633,142.998,138.245,142.958,147.322,1.9503238003763377,1.742187591048579e-05,27.760771000000037
-79.5059,-85.0216,-84.4613,-78.9771,-62.3937,-62.3781,-55.9816,-59.0155,0.0,-1.0,27.71048324500005
86.0749,81.1717,80.6128,86.7412,-108.805,-114.365,-110.315,-102.699,0.5997609427451309,0.0040362398137952,27.65545680000005
81.8415,76.3158,75.9477,81.2634,-131.055,-136.312,-131.167,-126.868,1.009960190050153,0.0005732163356374,27.553458000000056
83.5645,78.0747,78.6867,84.2124,-88.6554,-86.7672,-83.4046,-82.2029,0.0,-1.0,27.245788849999975
83.5183,77.9528,77.4642,83.0108,42.9486,37.4231,42.6799,46.5447,0.0,-1.0,26.931996979999973
-76.4191,-81.8887,-82.55,-77.0467,157.648,152.632,157.329,161.658,0.7581104603356352,0.0004672153227213,26.89645269999996
81.8502,76.2092,75.7549,81.3243,68.0768,64.6521,68.0204,73.4464,0.0,-1.0,26.65770257499993
86.2427,80.7778,81.2962,86.7949,144.965,148.672,152.456,150.292,0.7867297867775488,0.0004413600960593,26.543713049999965
83.2415,77.7083,77.1838,82.6628,-138.794,-142.968,-139.327,-133.866,0.3553220593701662,0.0002043569398118,26.24821844999994
-76.1956,-81.6777,-82.3081,-76.7995,166.419,161.845,166.368,170.376,0.0,-1.0,25.948474649999966
-80.3879,-85.9542,-85.4408,-79.931,-175.011,-172.466,-168.127,-170.628,0.0,-1.0,25.375469500000015
76.5713,70.8043,70.6045,76.4436,47.0873,44.9054,48.3958,52.1415,0.0,-1.0,25.277692764999983
